byte	frequency
0	0.995547
1	0.179121
2	0.124198
3	0.065396
4	0.063283
5	0.058194
6	0.056277
7	0.043121
8	0.079293
9	0.04504
10	0.114816
11	0.02838
12	0.040193
13	0.036159
14	0.038676
15	0.054622
16	0.05671
17	0.030192
18	0.028171
19	0.022051
20	0.09804
21	0.024531
22	0.023037
23	0.048797
24	0.028063
25	0.02491
26	0.028071
27	0.021256
28	0.026236
29	0.024265
30	0.02638
31	0.023618
32	0.184537
33	0.020272
34	0.034642
35	0.030044
36	0.02459
37	0.025361
38	0.01929
39	0.020624
40	0.062447
41	0.034481
42	0.028343
43	0.018903
44	0.04106
45	0.035715
46	0.046372
47	0.029913
48	0.058035
49	0.038671
50	0.033944
51	0.028863
52	0.027567
53	0.024922
54	0.024745
55	0.023206
56	0.029893
57	0.025324
58	0.024926
59	0.028544
60	0.027823
61	0.019862
62	0.035011
63	0.039372
64	0.066207
65	0.050518
66	0.028746
67	0.0399
68	0.034467
69	0.090698
70	0.034691
71	0.027069
72	0.038605
73	0.038041
74	0.018992
75	0.018833
76	0.031692
77	0.032886
78	0.034662
79	0.035911
80	0.084917
81	0.023953
82	0.0366
83	0.040039
84	0.040634
85	0.02779
86	0.022825
87	0.024216
88	0.019032
89	0.019998
90	0.017777
91	0.016064
92	0.023896
93	0.015584
94	1.47E-02
95	0.036459
96	1.73E-02
97	0.089627
98	0.032085
99	0.059942
100	0.055568
101	0.108681
102	0.038552
103	0.037296
104	0.043203
105	0.082916
106	0.015954
107	0.026639
108	0.063232
109	0.046725
110	0.079509
111	0.080004
112	0.049021
113	0.017457
114	0.080934
115	0.069698
116	0.086741
117	0.044661
118	0.02973
119	0.030799
120	0.024046
121	0.036154
122	0.018164
123	0.012479
124	0.015531
125	0.029366
126	0.036494
127	0.024353
128	0.04582
129	0.015259
130	0.013893
131	0.012885
132	0.014974
133	0.014285
134	0.011943
135	0.013153
136	0.012332
137	0.011388
138	0.021356
139	0.012506
140	0.014186
141	0.012107
142	0.013559
143	0.015323
144	0.01804
145	0.013307
146	0.022161
147	0.019893
148	0.012528
149	0.01235
150	0.013413
151	0.013354
152	0.012499
153	0.014227
154	0.012849
155	0.011785
156	0.015418
157	0.012182
158	0.015013
159	0.024523
160	0.019399
161	0.012732
162	0.037865
163	0.012357
164	0.012888
165	0.013185
166	0.011802
167	0.013176
168	0.0133
169	0.012768
170	0.013961
171	0.01316
172	0.013066
173	0.011557
174	0.014058
175	0.014917
176	0.01342
177	0.013409
178	0.014591
179	0.012654
180	0.015694
181	0.012138
182	0.012927
183	0.012768
184	0.012601
185	0.012293
186	0.012165
187	0.013034
188	0.016085
189	0.017472
190	0.022695
191	0.019041
192	0.03546
193	0.013399
194	0.012238
195	0.012295
196	0.012149
197	0.012253
198	0.013237
199	0.015275
200	1.50E-02
201	1.31E-02
202	0.011953
203	1.15E-02
204	0.016455
205	0.012956
206	0.013737
207	0.014004
208	0.013747
209	0.011644
210	0.012503
211	0.012022
212	0.013177
213	0.012823
214	0.01154
215	0.01568
216	0.012775
217	0.012805
218	0.012552
219	0.012415
220	1.44E-02
221	0.011638
222	0.011105
223	1.31E-02
224	0.035538
225	0.017051
226	0.0132
227	0.014488
228	0.012806
229	0.012924
230	0.011828
231	0.013683
232	0.01301
233	0.012597
234	0.01241
235	0.012299
236	0.014418
237	0.011808
238	0.011522
239	0.013009
240	0.021101
241	0.015243
242	0.014859
243	0.013193
244	0.017579
245	0.022471
246	1.21E-02
247	0.012854
248	0.016935
249	0.014354
250	1.41E-02
251	0.012285
252	1.73E-02
253	0.066988
254	0.018676
255	0.150981
