byte	frequency
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0.02491
10	0.401624
11	0
12	0
13	0.13422
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0.917548
33	0.005742
34	0.135518
35	0.00403
36	0.000263
37	0.001987
38	0.005493
39	0.049056
40	0.036626
41	0.039874
42	0.449573
43	0.035033
44	0.101385
45	0.195917
46	0.268339
47	0.119087
48	0.2378
49	0.186816
50	0.184712
51	0.200911
52	0.126703
53	0.144048
54	0.093003
55	0.086408
56	0.104619
57	0.099057
58	0.222769
59	0.027504
60	0.095715
61	0.116891
62	0.106003
63	0.003248
64	0.097479
65	0.132742
66	0.07081
67	0.119112
68	0.17556
69	0.103636
70	0.098056
71	0.04648
72	0.056159
73	0.096271
74	0.042477
75	0.025553
76	0.103171
77	0.099753
78	0.092471
79	0.096832
80	0.102111
81	0.02451
82	0.1032
83	0.193198
84	0.125758
85	0.048117
86	0.028797
87	0.038523
88	0.027618
89	0.051263
90	0.02394
91	0.027908
92	0.00869
93	0.027908
94	1.39E-04
95	0.070627
96	0.00E+00
97	0.47533
98	0.14071
99	0.321737
100	0.293924
101	0.568076
102	0.189815
103	0.166936
104	0.198887
105	0.378532
106	0.057213
107	0.078209
108	0.326883
109	0.161732
110	0.372524
111	0.41075
112	0.207412
113	0.024262
114	0.372436
115	0.38803
116	0.470974
117	0.259933
118	0.123354
119	0.082526
120	0.071328
121	0.15393
122	0.024557
123	0.004027
124	0.016216
125	0.004027
126	0
127	0
128	0
129	0
130	0
131	0.00E+00
132	0.00E+00
133	0.00E+00
134	0.00E+00
135	0.00E+00
136	0
137	0.00E+00
138	0.00E+00
139	0.00E+00
140	0.00E+00
141	0.00E+00
142	2.85E-03
143	0.00E+00
144	0.00E+00
145	0.00E+00
146	0.00E+00
147	0
148	0
149	0.00E+00
150	0.00E+00
151	0
152	0
153	0
154	0.00E+00
155	0.00E+00
156	0
157	0
158	0.00E+00
159	0.00E+00
160	0
161	0.00E+00
162	0.00E+00
163	0.00E+00
164	0.00E+00
165	0.00E+00
166	0.00E+00
167	0.00E+00
168	0.00E+00
169	0
170	0.00E+00
171	0.00E+00
172	0.00E+00
173	0.00E+00
174	9.11E-04
175	0
176	0.00E+00
177	0
178	0.00E+00
179	0.00E+00
180	0.00E+00
181	0.00E+00
182	0.00E+00
183	0.00E+00
184	0
185	0.00E+00
186	0.00E+00
187	0.00E+00
188	0
189	0.00E+00
190	0.00E+00
191	0.00E+00
192	0
193	0
194	0
195	0
196	0.00E+00
197	0.00E+00
198	0
199	0
200	0.00E+00
201	0.00E+00
202	0.010991
203	0.00E+00
204	0.00E+00
205	0
206	0
207	0
208	0.00E+00
209	0.00E+00
210	0
211	0
212	0
213	0
214	0
215	0.00E+00
216	0.00E+00
217	0.00E+00
218	0.00E+00
219	0.00E+00
220	0.00E+00
221	0
222	0
223	0.00E+00
224	0
225	0.00E+00
226	0
227	0
228	0.00E+00
229	0.00E+00
230	0.00E+00
231	0.00E+00
232	0.00E+00
233	4.66E-05
234	0.00E+00
235	0.00E+00
236	0.00E+00
237	0.00E+00
238	0
239	0.00E+00
240	0
241	0
242	0
243	0.00E+00
244	0.00E+00
245	0.00E+00
246	0.00E+00
247	0
248	0
249	0
250	0.00E+00
251	0
252	0.00E+00
253	0
254	0
255	0
