byte	frequency
0	0.669917
1	0.176817
2	0.150994
3	0.136485
4	0.131622
5	0.127148
6	0.109718
7	0.108829
8	0.150779
9	0.101245
10	0.149474
11	0.083268
12	0.119712
13	0.110307
14	0.079637
15	0.080211
16	0.110505
17	0.103598
18	0.098452
19	0.089671
20	0.088911
21	0.107235
22	0.078789
23	0.097664
24	0.109963
25	0.085383
26	0.081642
27	0.091543
28	0.08666
29	0.092377
30	0.105627
31	0.090378
32	0.261623
33	0.097319
34	0.139922
35	0.107272
36	0.08942
37	0.089751
38	0.082764
39	0.09824
40	0.107349
41	0.102778
42	0.084893
43	0.089209
44	0.097885
45	0.099448
46	0.128814
47	0.122742
48	0.115153
49	0.104181
50	0.114293
51	0.111534
52	0.115854
53	0.105707
54	0.080059
55	0.091269
56	0.088374
57	0.09463
58	0.114273
59	0.109638
60	0.131442
61	0.129347
62	0.134482
63	0.145067
64	0.154785
65	0.127667
66	0.136628
67	0.107715
68	0.117777
69	0.126737
70	0.120426
71	0.111577
72	0.116771
73	0.106531
74	0.107013
75	0.078935
76	0.093605
77	0.090144
78	0.093363
79	0.126604
80	0.092541
81	0.088117
82	0.101955
83	0.097354
84	0.120751
85	0.097654
86	0.09329
87	0.08174
88	0.092102
89	0.076029
90	0.089137
91	0.076481
92	0.108625
93	0.078155
94	0.08126
95	0.120154
96	0.093251
97	0.167023
98	0.100169
99	0.1342
100	0.158362
101	0.194452
102	0.120532
103	0.111127
104	0.130375
105	0.184285
106	0.088727
107	0.102779
108	0.13649
109	0.123894
110	0.166059
111	0.143918
112	0.131953
113	0.101357
114	0.145809
115	0.152529
116	0.185817
117	0.127461
118	0.096736
119	0.12503
120	0.104345
121	0.118695
122	0.093858
123	0.08721
124	0.071243
125	0.088026
126	0.067749
127	0.070719
128	0.148094
129	0.106821
130	0.0995
131	0.084304
132	0.087203
133	0.103343
134	0.086489
135	0.086963
136	0.077878
137	0.107809
138	0.090139
139	0.089271
140	0.094882
141	0.078933
142	0.090267
143	0.086008
144	0.088874
145	0.084054
146	0.090302
147	0.074737
148	0.082039
149	0.102521
150	0.081299
151	0.091704
152	0.080927
153	0.079591
154	0.087816
155	0.069506
156	0.081078
157	0.079299
158	0.074191
159	0.103179
160	0.11163
161	0.076802
162	0.079292
163	0.090029
164	0.079441
165	0.07946
166	0.073435
167	0.095871
168	0.102627
169	0.098198
170	0.092132
171	0.089717
172	0.078366
173	0.085053
174	0.095801
175	0.08409
176	0.087664
177	0.083651
178	0.084592
179	0.093302
180	0.07919
181	0.106967
182	0.092332
183	0.092002
184	0.092507
185	0.091027
186	0.077343
187	0.082907
188	0.074822
189	0.136257
190	0.101414
191	0.116204
192	0.11851
193	0.102161
194	0.102581
195	0.114263
196	0.095531
197	0.108425
198	0.101448
199	0.13405
200	0.090471
201	0.080882
202	0.100781
203	0.086883
204	0.083111
205	0.085731
206	0.092611
207	0.090561
208	0.089438
209	0.084782
210	0.099489
211	0.087364
212	0.090038
213	0.083563
214	0.0813
215	0.083894
216	0.085254
217	0.067186
218	0.090778
219	0.091476
220	0.069686
221	0.085148
222	0.089022
223	0.070331
224	0.09325
225	0.074003
226	0.082086
227	0.075854
228	0.079426
229	0.07962
230	0.079134
231	0.083176
232	0.097692
233	0.092831
234	0.074038
235	0.076112
236	0.086388
237	0.083453
238	0.071403
239	0.097108
240	0.097622
241	0.101612
242	0.077504
243	0.089144
244	0.081519
245	0.071522
246	0.069889
247	0.085427
248	0.087962
249	0.08496
250	0.090356
251	0.079782
252	0.082979
253	0.092947
254	0.112031
255	0.130945
