byte	frequency
0	0.994381
1	0.207275
2	0.187469
3	0.213318
4	0.196286
5	0.175641
6	0.19691
7	0.178621
8	0.194167
9	0.17551
10	0.179915
11	0.17122
12	0.174762
13	0.174523
14	0.170665
15	0.181253
16	0.185885
17	0.171636
18	0.174326
19	0.170878
20	0.203953
21	0.172148
22	0.175124
23	0.172355
24	0.17088
25	0.167247
26	0.182498
27	0.17464
28	0.171197
29	0.175393
30	0.174741
31	0.185311
32	0.212913
33	0.191638
34	0.175703
35	0.169395
36	0.176312
37	0.170646
38	0.168752
39	0.171412
40	0.181479
41	0.170427
42	0.168936
43	0.168048
44	0.175965
45	0.179504
46	0.202481
47	0.221932
48	0.182629
49	0.176285
50	0.172054
51	0.173423
52	0.179832
53	0.174378
54	0.178135
55	0.179073
56	0.180888
57	0.170742
58	0.176821
59	0.173744
60	0.179356
61	0.172705
62	0.179246
63	0.184673
64	0.169562
65	0.172603
66	0.1694
67	0.173342
68	0.174586
69	0.177319
70	0.17059
71	0.177702
72	0.175708
73	0.178715
74	0.173091
75	0.19999
76	0.172345
77	0.177917
78	0.176392
79	0.176569
80	0.194659
81	0.173597
82	0.17517
83	0.174605
84	0.176203
85	0.17368
86	0.176794
87	0.170701
88	0.172627
89	0.181328
90	0.175501
91	0.177226
92	0.171277
93	0.173675
94	1.76E-01
95	0.187513
96	1.66E-01
97	0.18688
98	0.173462
99	0.180862
100	0.203907
101	0.237282
102	0.174896
103	0.182406
104	0.180143
105	0.212844
106	0.177076
107	0.180416
108	0.235804
109	0.208371
110	0.194342
111	0.211669
112	0.197806
113	0.172754
114	0.208139
115	0.235753
116	0.213627
117	0.182665
118	0.181623
119	0.179613
120	0.208501
121	0.181065
122	0.172909
123	0.17535
124	0.181663
125	0.174754
126	0.181744
127	0.183728
128	0.171406
129	0.164145
130	0.174398
131	1.75E-01
132	1.70E-01
133	1.71E-01
134	1.77E-01
135	1.74E-01
136	0.168091
137	1.71E-01
138	1.77E-01
139	1.78E-01
140	1.68E-01
141	1.71E-01
142	1.71E-01
143	1.82E-01
144	1.69E-01
145	1.72E-01
146	1.76E-01
147	0.171823
148	0.166588
149	1.68E-01
150	1.78E-01
151	0.170358
152	0.164411
153	0.166489
154	1.77E-01
155	1.75E-01
156	0.176025
157	0.17288
158	1.73E-01
159	1.76E-01
160	0.173066
161	1.68E-01
162	1.74E-01
163	1.82E-01
164	1.74E-01
165	1.73E-01
166	1.72E-01
167	1.74E-01
168	1.68E-01
169	0.172338
170	1.73E-01
171	1.73E-01
172	1.72E-01
173	1.78E-01
174	1.72E-01
175	0.181721
176	1.72E-01
177	0.168764
178	1.72E-01
179	1.76E-01
180	1.75E-01
181	1.80E-01
182	1.78E-01
183	1.78E-01
184	0.163147
185	1.68E-01
186	1.72E-01
187	1.76E-01
188	0.177098
189	1.77E-01
190	1.81E-01
191	1.80E-01
192	0.166046
193	0.18496
194	0.17072
195	0.184797
196	1.77E-01
197	1.80E-01
198	0.174537
199	0.17833
200	1.67E-01
201	1.70E-01
202	0.165403
203	1.74E-01
204	1.68E-01
205	0.175768
206	0.172042
207	0.178256
208	1.73E-01
209	1.77E-01
210	0.174599
211	0.177705
212	0.173174
213	0.175697
214	0.174864
215	1.81E-01
216	1.73E-01
217	1.76E-01
218	1.80E-01
219	1.89E-01
220	1.66E-01
221	0.1753
222	0.178551
223	1.85E-01
224	0.175462
225	1.80E-01
226	0.185518
227	0.180132
228	1.68E-01
229	1.68E-01
230	1.73E-01
231	1.72E-01
232	1.77E-01
233	1.71E-01
234	1.73E-01
235	1.77E-01
236	1.78E-01
237	1.81E-01
238	0.168082
239	1.84E-01
240	0.186702
241	0.188512
242	0.167488
243	1.75E-01
244	1.73E-01
245	1.77E-01
246	1.84E-01
247	0.174497
248	0.189265
249	0.168103
250	1.75E-01
251	0.178649
252	1.80E-01
253	0.184799
254	0.181175
255	0.236109
