byte	frequency
0	0.000184
1	1.07E-06
2	2.15E-08
3	1.14E-06
4	1.59E-05
5	2.66E-07
6	2.13E-07
7	3.46E-07
8	1.37E-07
9	0.139728
10	0.293495
11	2.70E-06
12	0.000245
13	0.065574
14	1.03E-07
15	0
16	4.12E-08
17	0
18	1.27E-06
19	5.58E-07
20	7.95E-07
21	9.96E-08
22	1.22E-06
23	6.48E-07
24	9.96E-08
25	1.02E-07
26	2.60E-06
27	1.18E-07
28	2.05E-07
29	2.93E-07
30	1.71E-07
31	1.17E-06
32	0.821264
33	0.034547
34	0.237709
35	0.044189
36	0.019678
37	0.025446
38	0.044261
39	0.064202
40	0.131333
41	0.131446
42	0.060344
43	0.035689
44	0.135288
45	0.221638
46	0.308263
47	0.234023
48	0.223372
49	0.172067
50	0.139829
51	0.096294
52	0.084993
53	0.09161
54	0.071863
55	0.063074
56	0.066231
57	0.070068
58	0.190193
59	0.172635
60	0.136605
61	0.191797
62	0.140015
63	0.022789
64	0.00907
65	0.072448
66	0.038131
67	0.069855
68	0.060932
69	0.059822
70	0.046228
71	0.035347
72	0.033177
73	0.057326
74	0.01485
75	0.015608
76	0.049792
77	0.054947
78	0.049229
79	0.049706
80	0.050686
81	0.014998
82	0.052583
83	0.083024
84	0.068053
85	0.032817
86	0.019001
87	0.028156
88	0.013478
89	0.018611
90	0.008955
91	0.036565
92	0.014489
93	0.036554
94	4.23E-03
95	0.094715
96	7.66E-04
97	0.501824
98	0.183619
99	0.323865
100	0.342208
101	0.601739
102	0.235191
103	0.247954
104	0.260932
105	0.482921
106	0.049029
107	0.09053
108	0.368057
109	0.240115
110	0.443551
111	0.45945
112	0.299419
113	0.027095
114	0.435837
115	0.415217
116	0.55181
117	0.248626
118	0.161895
119	0.14921
120	0.117455
121	0.136258
122	0.03816
123	0.090877
124	0.028939
125	0.090879
126	0.001192
127	6.70E-06
128	0.001859
129	0.000207
130	0.000214
131	1.74E-04
132	1.24E-04
133	9.25E-05
134	1.13E-04
135	8.52E-05
136	0.000121
137	9.58E-05
138	7.87E-05
139	8.60E-05
140	1.09E-04
141	8.04E-05
142	7.65E-05
143	8.79E-05
144	7.96E-05
145	8.35E-05
146	9.19E-05
147	0.000637
148	0.000363
149	7.10E-05
150	1.28E-04
151	8.76E-05
152	0.000124
153	0.000576
154	8.66E-05
155	6.48E-05
156	0.000445
157	0.000324
158	6.16E-05
159	7.04E-05
160	0.000205
161	2.03E-04
162	1.24E-04
163	9.55E-05
164	1.77E-04
165	1.19E-04
166	2.81E-04
167	1.80E-04
168	1.66E-04
169	0.000817
170	1.23E-04
171	1.75E-04
172	1.11E-04
173	1.77E-04
174	1.48E-04
175	0.000119
176	3.27E-04
177	0.000171
178	1.10E-04
179	1.68E-04
180	1.30E-04
181	1.51E-04
182	1.18E-04
183	1.47E-04
184	0.000194
185	1.46E-04
186	3.51E-04
187	7.12E-04
188	0.000193
189	1.49E-04
190	1.15E-04
191	4.62E-04
192	2.11E-05
193	1.31E-05
194	0.001095
195	0.000857
196	8.77E-05
197	8.11E-05
198	1.60E-05
199	2.11E-05
200	1.68E-05
201	1.86E-05
202	2.91E-05
203	1.47E-05
204	2.55E-05
205	1.44E-05
206	0.000109
207	4.48E-05
208	2.06E-04
209	1.21E-04
210	1.64E-05
211	2.25E-05
212	8.77E-06
213	2.14E-05
214	1.27E-05
215	2.18E-05
216	9.11E-05
217	6.67E-05
218	1.86E-05
219	1.58E-05
220	1.05E-05
221	8.08E-06
222	6.62E-06
223	5.74E-06
224	4.02E-05
225	3.09E-05
226	0.001935
227	0.000205
228	1.38E-04
229	2.17E-04
230	1.76E-04
231	1.40E-04
232	1.32E-04
233	1.61E-04
234	2.90E-05
235	3.71E-05
236	6.07E-05
237	3.97E-05
238	2.83E-05
239	4.50E-04
240	1.72E-05
241	1.08E-05
242	8.61E-06
243	1.55E-05
244	1.17E-05
245	1.10E-05
246	1.31E-05
247	6.56E-06
248	1.62E-05
249	1.16E-05
250	1.12E-05
251	5.20E-06
252	3.20E-05
253	9.72E-06
254	4.04E-06
255	4.44E-07
