byte	frequency
0	0.890345
1	4.14E-01
2	3.16E-01
3	3.13E-01
4	3.15E-01
5	2.89E-01
6	2.98E-01
7	2.92E-01
8	3.16E-01
9	0.278832
10	0.288697
11	2.71E-01
12	0.292438
13	0.271242
14	2.67E-01
15	0.280967
16	3.01E-01
17	0.28319
18	2.78E-01
19	2.64E-01
20	2.98E-01
21	2.85E-01
22	2.66E-01
23	2.70E-01
24	3.00E-01
25	2.78E-01
26	2.68E-01
27	2.88E-01
28	2.76E-01
29	2.68E-01
30	2.72E-01
31	2.83E-01
32	0.307806
33	0.277479
34	0.268575
35	0.277798
36	0.285136
37	0.26802
38	0.262727
39	0.269041
40	0.284151
41	0.265261
42	0.278283
43	0.275121
44	0.269489
45	0.276425
46	0.268879
47	0.268118
48	0.289155
49	0.278013
50	0.278106
51	0.269498
52	0.268074
53	0.267868
54	0.28662
55	0.273177
56	0.275449
57	0.261971
58	0.260601
59	0.268223
60	0.272406
61	0.270689
62	0.273129
63	0.292024
64	0.326816
65	0.279593
66	0.268971
67	0.259478
68	0.26304
69	0.269236
70	0.273996
71	0.272372
72	0.273576
73	0.274694
74	0.270256
75	0.271437
76	0.263819
77	0.270375
78	0.2618
79	0.277658
80	0.272396
81	0.278299
82	0.267784
83	0.269587
84	0.273496
85	0.297258
86	0.281266
87	0.280288
88	0.275858
89	0.263889
90	0.279838
91	0.279353
92	0.264185
93	0.272012
94	2.71E-01
95	0.284763
96	2.85E-01
97	0.275385
98	0.273131
99	0.281295
100	0.287169
101	0.276258
102	0.270396
103	0.264777
104	0.267521
105	0.27663
106	0.274653
107	0.273782
108	0.274812
109	0.32296
110	0.277926
111	0.298301
112	0.273645
113	0.270585
114	0.267446
115	0.271705
116	0.259949
117	0.270615
118	0.268982
119	0.282371
120	0.279757
121	0.262506
122	0.265411
123	0.281435
124	0.268735
125	0.27781
126	0.274489
127	3.31E-01
128	0.313863
129	0.280777
130	0.280335
131	2.71E-01
132	2.67E-01
133	2.71E-01
134	2.70E-01
135	2.59E-01
136	0.273695
137	2.60E-01
138	2.81E-01
139	2.60E-01
140	2.81E-01
141	2.83E-01
142	2.70E-01
143	2.67E-01
144	2.66E-01
145	2.67E-01
146	2.72E-01
147	0.268265
148	0.257007
149	2.68E-01
150	2.78E-01
151	2.66E-01
152	0.260042
153	0.263677
154	2.65E-01
155	2.74E-01
156	0.267124
157	0.252215
158	2.64E-01
159	2.82E-01
160	0.27832
161	2.56E-01
162	2.63E-01
163	2.64E-01
164	2.63E-01
165	2.69E-01
166	2.68E-01
167	2.64E-01
168	2.67E-01
169	0.27282
170	2.94E-01
171	2.83E-01
172	2.65E-01
173	2.83E-01
174	2.76E-01
175	0.284031
176	2.66E-01
177	0.270989
178	2.62E-01
179	2.59E-01
180	2.69E-01
181	2.79E-01
182	3.05E-01
183	2.94E-01
184	0.266489
185	2.66E-01
186	2.76E-01
187	2.81E-01
188	0.267655
189	2.81E-01
190	2.76E-01
191	3.12E-01
192	2.88E-01
193	2.76E-01
194	0.269269
195	0.267981
196	2.68E-01
197	2.70E-01
198	2.89E-01
199	2.66E-01
200	2.57E-01
201	2.66E-01
202	2.56E-01
203	2.74E-01
204	2.61E-01
205	2.68E-01
206	0.253321
207	2.71E-01
208	2.63E-01
209	2.50E-01
210	2.65E-01
211	2.68E-01
212	2.66E-01
213	2.79E-01
214	2.71E-01
215	2.73E-01
216	2.68E-01
217	2.61E-01
218	2.71E-01
219	3.21E-01
220	2.68E-01
221	2.78E-01
222	2.76E-01
223	3.07E-01
224	2.81E-01
225	2.72E-01
226	0.270754
227	0.283492
228	2.61E-01
229	2.63E-01
230	2.64E-01
231	2.65E-01
232	2.50E-01
233	2.65E-01
234	2.73E-01
235	2.85E-01
236	2.59E-01
237	2.76E-01
238	2.73E-01
239	2.98E-01
240	2.89E-01
241	2.89E-01
242	2.64E-01
243	2.69E-01
244	2.69E-01
245	2.82E-01
246	2.77E-01
247	2.93E-01
248	3.07E-01
249	2.74E-01
250	2.88E-01
251	2.96E-01
252	3.16E-01
253	3.01E-01
254	3.37E-01
255	4.98E-01
