byte	frequency
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0.052089
10	0.312473
11	0
12	0
13	0.039314
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0.85386
33	0.012394
34	0.333571
35	0.079439
36	0.00095
37	0.005843
38	0.02474
39	0.019487
40	0.021148
41	0.0212
42	0.000286
43	0.004061
44	0.059474
45	0.281847
46	0.312038
47	0.599358
48	0.288667
49	0.243107
50	0.249222
51	0.159155
52	0.125545
53	0.096586
54	0.086251
55	0.089765
56	0.102658
57	0.17187
58	0.510224
59	0.032818
60	0.377286
61	0.213307
62	0.377294
63	0.069771
64	0.00117
65	0.073673
66	0.028728
67	0.121778
68	0.161242
69	0.050434
70	0.090078
71	0.025829
72	0.018656
73	0.095619
74	0.008892
75	0.009075
76	0.061356
77	0.088698
78	0.05043
79	0.056591
80	0.057746
81	0.005359
82	0.10477
83	0.090926
84	0.088814
85	0.058545
86	0.040265
87	0.02649
88	0.014173
89	0.011948
90	0.005675
91	0.017198
92	0.000178
93	0.017087
94	3.42E-05
95	0.026683
96	5.05E-05
97	0.610416
98	0.266563
99	0.587957
100	0.599498
101	0.842714
102	0.377551
103	0.3497
104	0.312599
105	0.586452
106	0.02391
107	0.153555
108	0.452156
109	0.399788
110	0.585384
111	0.648643
112	0.373983
113	0.018972
114	0.713696
115	0.645739
116	0.739726
117	0.313207
118	0.177381
119	0.280973
120	0.19001
121	0.15567
122	0.018139
123	0.000718
124	0.000267
125	0.000719
126	0.001151
127	0
128	0.006549
129	0.003932
130	0.002668
131	0.005363
132	0.001242
133	0.001148
134	0.001465
135	0.000915
136	0.002113
137	0.001599
138	0.000716
139	0.001237
140	0.001192
141	0.001732
142	0.000346
143	0.001135
144	0.002266
145	0.001504
146	0.001334
147	0.002486
148	0.002197
149	0.001489
150	0.000898
151	0.001672
152	0.001848
153	0.002488
154	0.0009
155	0.001221
156	0.002402
157	0.002312
158	0.001026
159	0.001083
160	0.002279
161	0.002526
162	0.001117
163	0.001772
164	0.00145
165	0.000965
166	0.001167
167	0.002367
168	0.001877
169	0.003235
170	0.001409
171	0.001057
172	0.000977
173	0.001379
174	0.001048
175	0.000664
176	0.003457
177	0.002449
178	0.001861
179	0.001914
180	0.002319
181	0.002764
182	0.001107
183	0.001683
184	0.004141
185	0.001978
186	0.001747
187	0.001833
188	0.002351
189	0.002151
190	0.002272
191	0.00174
192	0
193	0
194	0.001943
195	0.005949
196	0.001551
197	0.00082
198	0.00013
199	0
200	3.17E-05
201	1.60E-05
202	0
203	7.44E-06
204	0
205	0
206	0.003658
207	0.001418
208	0.007412
209	0.00348
210	0.000102
211	0
212	0
213	0.002465
214	0.000932
215	0.002392
216	0.001793
217	0.001457
218	0
219	0.000117
220	5.60E-06
221	0
222	0
223	1.41E-05
224	0.003866
225	0.004371
226	0.004385
227	0.002777
228	0.000864
229	0.002392
230	0.00212
231	0.002021
232	0.000921
233	0.001166
234	0.000355
235	0.00051
236	0.000993
237	0.000382
238	0
239	0.000411
240	0
241	0
242	0
243	0
244	0
245	0
246	5.65E-05
247	0
248	0
249	0
250	5.78E-05
251	0
252	5.16E-05
253	0
254	0
255	0
