byte	frequency
0	0.610496
1	0.301016
2	0.270368
3	0.245404
4	0.240214
5	0.203852
6	0.252757
7	0.229889
8	0.243724
9	0.214793
10	0.241105
11	0.204006
12	0.231366
13	0.201749
14	0.213972
15	0.198531
16	0.239102
17	0.206643
18	0.211977
19	0.198233
20	0.215885
21	0.189173
22	0.203141
23	0.182361
24	0.217091
25	0.197083
26	0.208353
27	0.18861
28	0.208994
29	0.205339
30	0.219295
31	0.213754
32	0.613241
33	0.229546
34	0.2319
35	0.205363
36	0.228799
37	0.20688
38	0.213592
39	0.199345
40	0.222826
41	0.2052
42	0.215801
43	0.1957
44	0.217315
45	0.201056
46	0.205398
47	0.203576
48	0.23799
49	0.209889
50	0.219191
51	0.199005
52	0.215954
53	0.18947
54	0.208501
55	0.181652
56	0.222046
57	0.200216
58	0.21794
59	0.185626
60	0.214646
61	0.190261
62	0.206986
63	0.179812
64	0.268803
65	0.239438
66	0.22927
67	0.215642
68	0.220442
69	0.202551
70	0.21124
71	0.200924
72	0.229431
73	0.211155
74	0.210597
75	0.201015
76	0.213698
77	0.199268
78	0.2039
79	0.187961
80	0.237182
81	0.210322
82	0.215926
83	0.204093
84	0.215691
85	0.193019
86	0.208005
87	0.182386
88	0.222037
89	0.193199
90	0.20176
91	0.181023
92	0.200264
93	0.181676
94	1.90E-01
95	0.172833
96	2.52E-01
97	0.232989
98	0.22144
99	0.21387
100	0.227817
101	0.218031
102	0.207769
103	0.189587
104	0.224656
105	0.210513
106	0.204475
107	0.196902
108	0.215338
109	0.198831
110	0.207127
111	0.200605
112	0.229727
113	0.19442
114	0.213744
115	0.192559
116	0.218191
117	0.182273
118	0.188812
119	0.1707
120	0.206483
121	0.185748
122	0.196052
123	0.176778
124	0.189013
125	0.180421
126	0.185741
127	0.173446
128	0.305012
129	0.242859
130	0.225619
131	2.10E-01
132	2.17E-01
133	1.94E-01
134	2.00E-01
135	2.18E-01
136	0.231115
137	2.03E-01
138	2.01E-01
139	1.91E-01
140	2.04E-01
141	1.93E-01
142	1.96E-01
143	1.91E-01
144	2.22E-01
145	1.95E-01
146	2.04E-01
147	0.185762
148	0.194448
149	1.79E-01
150	1.85E-01
151	0.171701
152	0.194666
153	0.175702
154	1.82E-01
155	1.71E-01
156	0.184753
157	0.167338
158	1.72E-01
159	1.61E-01
160	0.240644
161	2.02E-01
162	2.01E-01
163	1.85E-01
164	1.98E-01
165	1.79E-01
166	1.84E-01
167	1.72E-01
168	2.00E-01
169	0.18162
170	1.89E-01
171	1.72E-01
172	1.85E-01
173	1.72E-01
174	1.76E-01
175	0.164413
176	2.00E-01
177	0.17577
178	1.86E-01
179	1.69E-01
180	1.85E-01
181	1.65E-01
182	1.79E-01
183	1.57E-01
184	0.190267
185	1.70E-01
186	1.76E-01
187	1.59E-01
188	0.170035
189	1.57E-01
190	1.56E-01
191	1.48E-01
192	0.236024
193	0.203808
194	0.194961
195	0.181588
196	1.89E-01
197	1.70E-01
198	0.174896
199	0.17235
200	1.94E-01
201	1.73E-01
202	0.175726
203	1.66E-01
204	1.77E-01
205	0.160413
206	0.165857
207	0.149626
208	1.98E-01
209	1.71E-01
210	0.181717
211	0.159216
212	0.173388
213	0.152351
214	0.165105
215	1.48E-01
216	1.81E-01
217	1.57E-01
218	1.68E-01
219	1.48E-01
220	1.62E-01
221	0.139608
222	0.14542
223	1.31E-01
224	0.216645
225	1.81E-01
226	0.179097
227	0.167103
228	1.76E-01
229	1.56E-01
230	1.64E-01
231	1.47E-01
232	1.84E-01
233	1.61E-01
234	1.66E-01
235	1.51E-01
236	1.68E-01
237	1.47E-01
238	0.154745
239	1.32E-01
240	0.177864
241	0.150228
242	0.156434
243	1.36E-01
244	1.60E-01
245	1.33E-01
246	1.44E-01
247	0.120878
248	0.161682
249	0.129252
250	1.48E-01
251	0.125156
252	1.48E-01
253	0.128332
254	0.147405
255	0.226081
255	0.628199
