byte	frequency
0	0.992283
1	3.13E-01
2	1.62E-01
3	1.71E-01
4	1.39E-01
5	1.71E-01
6	1.35E-01
7	1.35E-01
8	1.83E-01
9	0.13158
10	0.13467
11	1.33E-01
12	0.129476
13	0.125357
14	1.29E-01
15	0.141999
16	1.33E-01
17	0.126491
18	1.25E-01
19	1.22E-01
20	1.26E-01
21	1.26E-01
22	1.23E-01
23	1.26E-01
24	1.27E-01
25	1.21E-01
26	1.23E-01
27	1.23E-01
28	1.24E-01
29	1.22E-01
30	1.22E-01
31	1.25E-01
32	0.193081
33	0.13282
34	0.127377
35	0.122722
36	0.122964
37	0.121228
38	0.120349
39	0.121118
40	0.123866
41	0.119174
42	0.123513
43	0.122586
44	0.12137
45	0.12593
46	0.12425
47	0.125747
48	0.135528
49	0.12775
50	0.124199
51	0.122154
52	0.124306
53	0.123396
54	0.123217
55	0.123162
56	0.125215
57	0.120721
58	0.126793
59	0.120334
60	0.122521
61	0.129388
62	0.124298
63	0.125449
64	0.129796
65	0.129375
66	0.12457
67	0.121512
68	0.12799
69	0.121872
70	0.121362
71	0.121875
72	0.122853
73	0.121901
74	0.120521
75	0.120184
76	0.121476
77	0.123419
78	0.121946
79	0.123258
80	0.122847
81	0.121072
82	0.121016
83	0.120936
84	0.124022
85	0.125172
86	0.123363
87	0.122805
88	0.12306
89	0.118491
90	0.124204
91	0.12118
92	0.120439
93	0.124505
94	1.20E-01
95	0.127316
96	1.25E-01
97	0.129994
98	0.122834
99	0.126017
100	0.129966
101	0.131607
102	0.123789
103	0.119011
104	0.124736
105	0.127893
106	0.121518
107	0.122727
108	0.124048
109	0.132995
110	0.127378
111	0.131057
112	0.129918
113	0.120337
114	0.126578
115	0.128067
116	0.132793
117	0.124531
118	0.122525
119	0.12447
120	0.127722
121	0.121103
122	0.121604
123	0.122601
124	0.123241
125	0.122894
126	0.123696
127	1.34E-01
128	0.131361
129	0.123881
130	0.124111
131	1.22E-01
132	1.22E-01
133	1.22E-01
134	1.21E-01
135	1.19E-01
136	0.122431
137	1.21E-01
138	1.21E-01
139	1.20E-01
140	1.20E-01
141	1.20E-01
142	1.19E-01
143	1.22E-01
144	1.21E-01
145	1.18E-01
146	1.18E-01
147	0.12048
148	0.119542
149	1.20E-01
150	1.23E-01
151	1.22E-01
152	0.121038
153	0.118255
154	1.22E-01
155	1.22E-01
156	0.119223
157	0.11881
158	1.22E-01
159	1.29E-01
160	0.135322
161	1.21E-01
162	1.20E-01
163	1.21E-01
164	1.22E-01
165	1.20E-01
166	1.22E-01
167	1.21E-01
168	1.22E-01
169	0.121357
170	1.24E-01
171	1.23E-01
172	1.19E-01
173	1.21E-01
174	1.23E-01
175	0.124671
176	1.22E-01
177	0.119522
178	1.18E-01
179	1.18E-01
180	1.20E-01
181	1.21E-01
182	1.24E-01
183	1.23E-01
184	0.122339
185	1.19E-01
186	1.24E-01
187	1.25E-01
188	0.120505
189	1.26E-01
190	1.29E-01
191	1.33E-01
192	1.29E-01
193	1.25E-01
194	0.129669
195	0.128107
196	1.20E-01
197	1.20E-01
198	1.22E-01
199	1.20E-01
200	1.26E-01
201	1.18E-01
202	1.18E-01
203	1.21E-01
204	1.19E-01
205	1.19E-01
206	0.117617
207	1.24E-01
208	1.23E-01
209	1.18E-01
210	1.21E-01
211	1.22E-01
212	1.21E-01
213	1.25E-01
214	1.21E-01
215	1.25E-01
216	1.19E-01
217	1.18E-01
218	1.20E-01
219	1.25E-01
220	1.21E-01
221	1.24E-01
222	1.22E-01
223	1.28E-01
224	1.26E-01
225	1.22E-01
226	0.121186
227	0.121682
228	1.18E-01
229	1.20E-01
230	1.18E-01
231	1.22E-01
232	1.21E-01
233	1.21E-01
234	1.23E-01
235	1.24E-01
236	1.18E-01
237	1.21E-01
238	1.23E-01
239	1.26E-01
240	1.26E-01
241	1.23E-01
242	1.19E-01
243	1.22E-01
244	1.22E-01
245	1.25E-01
246	1.21E-01
247	1.26E-01
248	1.26E-01
249	1.40E-01
250	1.24E-01
251	1.25E-01
252	1.27E-01
253	1.28E-01
254	1.34E-01
255	1.73E-01
