byte	frequency
0	0.991808
1	2.23E-01
2	2.11E-01
3	1.91E-01
4	1.99E-01
5	1.79E-01
6	1.84E-01
7	1.73E-01
8	1.94E-01
9	0.18976
10	0.180709
11	2.01E-01
12	0.185215
13	0.16084
14	1.69E-01
15	0.157825
16	1.86E-01
17	0.173744
18	1.81E-01
19	1.71E-01
20	1.73E-01
21	1.59E-01
22	1.66E-01
23	2.00E-01
24	1.77E-01
25	1.72E-01
26	1.64E-01
27	1.56E-01
28	1.69E-01
29	1.59E-01
30	1.48E-01
31	1.51E-01
32	0.195264
33	0.174951
34	0.170386
35	0.160796
36	0.180665
37	0.170811
38	0.173756
39	0.160966
40	0.170641
41	0.165763
42	0.159473
43	0.152998
44	0.166518
45	0.160232
46	0.158454
47	0.189124
48	0.186262
49	0.163428
50	0.167113
51	0.172595
52	0.166708
53	0.15702
54	0.160163
55	0.153523
56	0.170006
57	0.166716
58	0.157525
59	0.157524
60	0.153182
61	0.142992
62	0.151383
63	0.15227
64	0.191276
65	0.175467
66	0.170573
67	0.159545
68	0.168888
69	0.157196
70	0.16121
71	0.152278
72	0.175871
73	0.172289
74	0.168962
75	0.155408
76	0.173372
77	0.167326
78	0.165389
79	0.150432
80	0.172762
81	0.154989
82	0.165101
83	0.159604
84	0.161721
85	0.15743
86	0.161846
87	0.149302
88	0.1669
89	0.152609
90	0.160237
91	0.158856
92	0.154692
93	0.154947
94	1.97E-01
95	0.144562
96	1.81E-01
97	0.172536
98	0.158357
99	0.161432
100	0.167337
101	0.165843
102	0.170041
103	0.156645
104	0.163022
105	0.169286
106	0.156682
107	0.153746
108	0.163302
109	0.164902
110	0.16104
111	0.156341
112	0.168973
113	0.156031
114	0.163544
115	0.162839
116	0.160828
117	0.15005
118	0.155743
119	0.157048
120	0.199789
121	0.149166
122	0.148875
123	0.146205
124	0.149241
125	0.145704
126	0.153752
127	1.51E-01
128	0.20206
129	0.175604
130	0.185496
131	1.64E-01
132	1.79E-01
133	2.03E-01
134	1.62E-01
135	1.56E-01
136	0.164546
137	1.60E-01
138	1.57E-01
139	1.55E-01
140	1.67E-01
141	1.55E-01
142	1.61E-01
143	1.43E-01
144	1.75E-01
145	1.59E-01
146	1.70E-01
147	0.165144
148	0.1646
149	1.53E-01
150	1.59E-01
151	1.54E-01
152	0.168832
153	0.167273
154	1.60E-01
155	1.59E-01
156	0.168805
157	0.158573
158	1.50E-01
159	1.52E-01
160	0.179115
161	1.58E-01
162	1.56E-01
163	1.53E-01
164	1.63E-01
165	1.54E-01
166	1.65E-01
167	1.55E-01
168	1.58E-01
169	0.15637
170	1.61E-01
171	1.53E-01
172	1.54E-01
173	1.57E-01
174	1.45E-01
175	0.143904
176	1.69E-01
177	0.156443
178	1.56E-01
179	1.53E-01
180	1.61E-01
181	1.52E-01
182	1.65E-01
183	1.58E-01
184	0.154495
185	1.51E-01
186	1.52E-01
187	1.53E-01
188	0.190829
189	1.52E-01
190	1.44E-01
191	1.51E-01
192	1.89E-01
193	1.65E-01
194	0.20314
195	0.156081
196	1.57E-01
197	1.54E-01
198	1.60E-01
199	1.49E-01
200	1.59E-01
201	1.67E-01
202	1.51E-01
203	1.57E-01
204	1.63E-01
205	1.57E-01
206	0.160942
207	1.56E-01
208	1.65E-01
209	1.55E-01
210	1.57E-01
211	1.62E-01
212	1.49E-01
213	1.54E-01
214	1.55E-01
215	1.42E-01
216	1.57E-01
217	1.54E-01
218	1.53E-01
219	1.65E-01
220	1.54E-01
221	1.53E-01
222	1.52E-01
223	1.53E-01
224	1.70E-01
225	2.03E-01
226	0.15439
227	0.152105
228	1.60E-01
229	1.51E-01
230	1.54E-01
231	1.54E-01
232	1.55E-01
233	1.54E-01
234	1.49E-01
235	1.46E-01
236	1.50E-01
237	1.51E-01
238	1.52E-01
239	1.53E-01
240	1.97E-01
241	1.50E-01
242	1.49E-01
243	1.48E-01
244	1.50E-01
245	1.47E-01
246	1.48E-01
247	1.47E-01
248	1.56E-01
249	1.47E-01
250	1.49E-01
251	1.47E-01
252	1.55E-01
253	1.52E-01
254	1.50E-01
255	1.78E-01
