byte	frequency
0	0.000773
1	0.000614
2	0.000738
3	0.000795
4	0.00077
5	0.000804
6	0.000787
7	0.000868
8	0.000745
9	0.022286
10	0.242237
11	0.000847
12	0.000854
13	0.000868
14	0.000939
15	0.000866
16	0.000738
17	0.000821
18	0.000919
19	0.00088
20	0.00076
21	0.000873
22	0.000854
23	0.000797
24	0.000795
25	0.000868
26	0.000831
27	0.000804
28	0.000917
29	0.000821
30	0.000948
31	0.000968
32	0.988203
33	0.02862
34	0.150419
35	0.162959
36	0.131371
37	0.012285
38	0.064375
39	0.299992
40	0.0782
41	0.093839
42	0.02407
43	0.012212
44	0.021808
45	0.227591
46	0.212859
47	0.194751
48	0.275171
49	0.239109
50	0.144484
51	0.138724
52	0.150185
53	0.12761
54	0.083115
55	0.110606
56	0.077467
57	0.112242
58	0.100724
59	0.086805
60	0.02641
61	0.118838
62	0.035291
63	0.078048
64	0.00077
65	0.053457
66	0.004997
67	0.056151
68	0.083353
69	0.076752
70	0.117791
71	0.053302
72	0.064993
73	0.10404
74	0.010324
75	0.001774
76	0.032504
77	0.023269
78	0.034878
79	0.080857
80	0.078584
81	0.001155
82	0.100689
83	0.039362
84	0.045802
85	0.02036
86	0.018642
87	0.026471
88	0.001831
89	0.018889
90	0.002022
91	0.048965
92	0.045005
93	0.048918
94	2.10E-02
95	0.165301
96	9.76E-04
97	0.356101
98	0.163162
99	0.311769
100	0.329483
101	0.409442
102	0.230881
103	0.189658
104	0.21933
105	0.307118
106	0.009631
107	0.08855
108	0.334061
109	0.13719
110	0.271925
111	0.369874
112	0.162223
113	0.024804
114	0.181882
115	0.23073
116	0.284559
117	0.131595
118	0.072146
119	0.251362
120	0.027916
121	0.057237
122	0.014799
123	0.031021
124	0.048542
125	0.031192
126	0.000896
127	0.000957
128	0.000679
129	0.000821
130	0.0008
131	8.64E-04
132	8.33E-04
133	7.83E-04
134	8.28E-04
135	8.92E-04
136	0.00076
137	9.77E-04
138	8.33E-04
139	9.01E-04
140	8.98E-04
141	9.26E-04
142	8.57E-04
143	9.26E-04
144	7.20E-04
145	8.07E-04
146	8.04E-04
147	0.000896
148	0.000854
149	9.17E-04
150	8.85E-04
151	0.000917
152	0.000896
153	0.000873
154	8.92E-04
155	9.59E-04
156	0.000859
157	0.000814
158	1.03E-03
159	8.92E-04
160	0.00076
161	8.36E-04
162	8.96E-04
163	9.23E-04
164	8.26E-04
165	8.68E-04
166	8.71E-04
167	9.23E-04
168	8.78E-04
169	0.000908
170	8.98E-04
171	9.05E-04
172	9.17E-04
173	1.00E-03
174	8.68E-04
175	0.000885
176	8.43E-04
177	0.000905
178	9.10E-04
179	9.44E-04
180	9.30E-04
181	8.36E-04
182	9.17E-04
183	9.23E-04
184	0.000873
185	8.78E-04
186	8.71E-04
187	8.82E-04
188	0.000847
189	1.02E-03
190	9.48E-04
191	9.57E-04
192	0.000814
193	0.000903
194	0.000898
195	0.000861
196	8.59E-04
197	8.26E-04
198	0.00091
199	0.000928
200	8.64E-04
201	8.66E-04
202	0.000889
203	9.90E-04
204	9.10E-04
205	0.000917
206	0.00091
207	0.000932
208	8.33E-04
209	8.87E-04
210	0.0008
211	0.000944
212	0.000935
213	0.000854
214	0.000966
215	9.03E-04
216	9.35E-04
217	9.10E-04
218	8.64E-04
219	8.98E-04
220	8.98E-04
221	0.000988
222	0.000983
223	9.70E-04
224	0.00084
225	9.75E-04
226	0.000857
227	0.00099
228	7.75E-04
229	9.14E-04
230	9.26E-04
231	9.01E-04
232	8.54E-04
233	8.09E-04
234	9.59E-04
235	8.50E-04
236	9.61E-04
237	8.82E-04
238	0.000928
239	9.39E-04
240	0.00085
241	0.000937
242	0.000866
243	1.01E-03
244	9.14E-04
245	1.00E-03
246	8.33E-04
247	0.000921
248	0.000977
249	0.000966
250	9.01E-04
251	0.000957
252	9.32E-04
253	0.00093
254	0.000992
255	0.001001
