byte	frequency
0	0.992973
1	4.88E-01
2	6.09E-01
3	8.48E-01
4	8.62E-01
5	8.99E-01
6	7.77E-01
7	8.95E-01
8	8.95E-01
9	0.811772
10	0.392536
11	9.20E-01
12	0.87003
13	0.901182
14	8.63E-01
15	0.791679
16	8.73E-01
17	0.91914
18	9.31E-01
19	9.53E-01
20	3.42E-01
21	9.51E-01
22	9.35E-01
23	5.68E-01
24	9.31E-01
25	9.46E-01
26	9.15E-01
27	9.37E-01
28	9.28E-01
29	9.18E-01
30	9.49E-01
31	9.28E-01
32	0.274787
33	0.927633
34	0.929125
35	0.938885
36	0.951818
37	0.922677
38	0.95031
39	0.955071
40	0.603873
41	0.90798
42	0.945252
43	0.949819
44	0.839013
45	0.866176
46	0.718945
47	0.853371
48	0.782125
49	0.856897
50	0.863708
51	0.913185
52	0.930172
53	0.937348
54	0.943252
55	0.930777
56	0.900815
57	0.936391
58	0.912676
59	0.925143
60	0.837272
61	0.949441
62	0.68514
63	0.843109
64	0.81734
65	0.778091
66	0.922756
67	0.848895
68	0.863362
69	0.219754
70	0.868056
71	0.917209
72	0.827015
73	0.831498
74	0.949031
75	0.944956
76	0.902171
77	0.890607
78	0.836618
79	0.849634
80	0.387727
81	0.88512
82	0.834332
83	0.819519
84	0.815836
85	0.904867
86	0.934661
87	0.925487
88	0.951645
89	0.942919
90	0.94187
91	0.961056
92	0.949503
93	0.957989
94	9.45E-01
95	0.887946
96	9.55E-01
97	0.444629
98	0.853954
99	0.635056
100	0.656491
101	0.370652
102	0.833967
103	0.789426
104	0.754285
105	0.463462
106	0.948676
107	0.865877
108	0.625515
109	0.72389
110	0.499976
111	0.491096
112	0.676983
113	0.928605
114	0.486094
115	0.561228
116	0.459861
117	0.732858
118	0.872609
119	0.873748
120	0.932431
121	0.77906
122	0.948407
123	0.956779
124	0.953918
125	0.901267
126	0.715124
127	9.42E-01
128	0.672396
129	0.954381
130	0.959188
131	9.61E-01
132	9.51E-01
133	9.60E-01
134	9.64E-01
135	9.61E-01
136	0.961562
137	9.63E-01
138	8.76E-01
139	9.63E-01
140	9.53E-01
141	9.64E-01
142	9.57E-01
143	9.19E-01
144	9.60E-01
145	9.59E-01
146	9.45E-01
147	0.948353
148	0.961908
149	9.56E-01
150	9.63E-01
151	9.60E-01
152	0.959529
153	0.940512
154	9.65E-01
155	9.66E-01
156	0.960264
157	0.958645
158	9.49E-01
159	8.17E-01
160	0.925524
161	9.65E-01
162	6.32E-01
163	9.63E-01
164	9.61E-01
165	9.65E-01
166	9.63E-01
167	9.60E-01
168	9.54E-01
169	0.96268
170	9.61E-01
171	9.60E-01
172	9.63E-01
173	9.64E-01
174	9.58E-01
175	0.951725
176	9.63E-01
177	0.95874
178	9.62E-01
179	9.63E-01
180	9.65E-01
181	9.59E-01
182	9.65E-01
183	9.46E-01
184	0.961837
185	9.58E-01
186	9.58E-01
187	9.60E-01
188	0.962974
189	9.31E-01
190	8.93E-01
191	9.37E-01
192	8.48E-01
193	9.62E-01
194	0.961643
195	0.959584
196	9.61E-01
197	9.59E-01
198	9.53E-01
199	9.47E-01
200	9.64E-01
201	9.64E-01
202	9.65E-01
203	9.63E-01
204	9.59E-01
205	9.65E-01
206	0.958277
207	9.52E-01
208	9.62E-01
209	9.62E-01
210	9.65E-01
211	9.63E-01
212	9.61E-01
213	9.62E-01
214	9.62E-01
215	9.61E-01
216	9.60E-01
217	9.61E-01
218	9.60E-01
219	9.63E-01
220	9.64E-01
221	9.59E-01
222	9.62E-01
223	9.52E-01
224	8.75E-01
225	9.02E-01
226	0.958371
227	0.949481
228	9.62E-01
229	9.61E-01
230	9.62E-01
231	9.50E-01
232	9.62E-01
233	9.60E-01
234	9.60E-01
235	9.61E-01
236	9.57E-01
237	9.60E-01
238	9.61E-01
239	9.61E-01
240	9.36E-01
241	9.54E-01
242	9.56E-01
243	9.57E-01
244	9.59E-01
245	9.47E-01
246	9.57E-01
247	9.56E-01
248	9.39E-01
249	9.52E-01
250	9.55E-01
251	9.59E-01
252	9.45E-01
253	4.97E-01
254	9.34E-01
255	5.58E-01
