byte	frequency
0	1
1	1.00E+00
2	1.00E+00
3	1.00E+00
4	1.00E+00
5	1.00E+00
6	1.00E+00
7	1.00E+00
8	1.00E+00
9	0.603195
10	0.253855
11	1.00E+00
12	1
13	0.018524
14	1.00E+00
15	1
16	1.00E+00
17	1
18	1.00E+00
19	1.00E+00
20	1.00E+00
21	1.00E+00
22	1.00E+00
23	1.00E+00
24	1.00E+00
25	1.00E+00
26	1.00E+00
27	1.00E+00
28	1.00E+00
29	1.00E+00
30	1.00E+00
31	1.00E+00
32	0.210825
33	0.84904
34	0.208333
35	0.936687
36	0.979816
37	0.960515
38	0.831864
39	0.514012
40	0.729193
41	0.718452
42	5.45E-10
43	0.608049
44	0.328555
45	0.073009
46	0.219392
47	0.106845
48	0.402902
49	0.395255
50	0.430753
51	0.227709
52	0.437421
53	0.430141
54	0.403822
55	0.320985
56	0.443097
57	0.39345
58	0.258799
59	0.569933
60	0.249928
61	0.024895
62	0.252934
63	0.970593
64	0.174729
65	0.266132
66	0.544376
67	0.252595
68	0.29877
69	0.294059
70	0.3903
71	0.513497
72	0.512444
73	0.525857
74	0.594795
75	0.661164
76	0.241643
77	0.366101
78	0.369809
79	0.447464
80	0.350717
81	0.645113
82	0.439875
83	0.275783
84	0.399502
85	0.418236
86	0.615436
87	0.535388
88	0.65271
89	0.59082
90	0.643416
91	0.791608
92	0.925749
93	0.80677
94	1.00E+00
95	0.328504
96	9.80E-01
97	0.177731
98	0.325693
99	0.285462
100	0.206319
101	0.105726
102	0.306665
103	0.232389
104	0.252445
105	0.255037
106	0.591393
107	0.227008
108	0.323887
109	0.211791
110	0.246239
111	0.248838
112	0.242883
113	0.669375
114	0.062497
115	0.24054
116	0.187472
117	0.404687
118	0.35607
119	0.382784
120	0.377247
121	0.249308
122	0.662213
123	0.906886
124	0.85782
125	0.906886
126	1
127	1.00E+00
128	1
129	1
130	1
131	1.00E+00
132	1.00E+00
133	1.00E+00
134	1.00E+00
135	1.00E+00
136	1
137	1.00E+00
138	1.00E+00
139	1.00E+00
140	1.00E+00
141	1.00E+00
142	9.65E-01
143	1.00E+00
144	1.00E+00
145	1.00E+00
146	1.00E+00
147	1
148	1
149	1.00E+00
150	1.00E+00
151	1.00E+00
152	1
153	1
154	1.00E+00
155	1.00E+00
156	1
157	1
158	1.00E+00
159	1.00E+00
160	1
161	1.00E+00
162	1.00E+00
163	1.00E+00
164	1.00E+00
165	1.00E+00
166	1.00E+00
167	1.00E+00
168	1.00E+00
169	1
170	1.00E+00
171	1.00E+00
172	1.00E+00
173	1.00E+00
174	9.96E-01
175	1
176	1.00E+00
177	1
178	1.00E+00
179	1.00E+00
180	1.00E+00
181	1.00E+00
182	1.00E+00
183	1.00E+00
184	1
185	1.00E+00
186	1.00E+00
187	1.00E+00
188	1
189	1.00E+00
190	1.00E+00
191	1.00E+00
192	1.00E+00
193	1.00E+00
194	1
195	1
196	1.00E+00
197	1.00E+00
198	1.00E+00
199	1.00E+00
200	1.00E+00
201	1.00E+00
202	8.81E-01
203	1.00E+00
204	1.00E+00
205	1.00E+00
206	1
207	1.00E+00
208	1.00E+00
209	1.00E+00
210	1.00E+00
211	1.00E+00
212	1.00E+00
213	1.00E+00
214	1.00E+00
215	1.00E+00
216	1.00E+00
217	1.00E+00
218	1.00E+00
219	1.00E+00
220	1.00E+00
221	1.00E+00
222	1.00E+00
223	1.00E+00
224	1.00E+00
225	1.00E+00
226	1
227	1
228	1.00E+00
229	1.00E+00
230	1.00E+00
231	1.00E+00
232	1.00E+00
233	1.00E+00
234	1.00E+00
235	1.00E+00
236	1.00E+00
237	1.00E+00
238	1.00E+00
239	1.00E+00
240	1.00E+00
241	1.00E+00
242	1.00E+00
243	1.00E+00
244	1.00E+00
245	1.00E+00
246	1.00E+00
247	1.00E+00
248	1.00E+00
249	1.00E+00
250	1.00E+00
251	1.00E+00
252	1.00E+00
253	1.00E+00
254	1.00E+00
255	1.00E+00
