byte	frequency
0	0.005808
1	2.66E-01
2	4.79E-03
3	3.36E-02
4	4.72E-03
5	1.12E-03
6	1.06E-01
7	1.13E-01
8	1.88E-02
9	0.005331
10	0.003482
11	5.70E-03
12	0.018867
13	0.019913
14	8.94E-02
15	0.080086
16	3.27E-02
17	0.026318
18	1.54E-02
19	1.16E-02
20	9.30E-04
21	1.64E-02
22	3.60E-03
23	2.49E-02
24	1.06E-01
25	8.63E-02
26	6.12E-02
27	2.18E-02
28	3.65E-02
29	3.41E-02
30	7.81E-02
31	3.31E-02
32	0.010602
33	0.000574
34	0.004545
35	0.088737
36	0.003415
37	0.014512
38	0.023003
39	0.050339
40	0.005084
41	0.019533
42	1.89E-02
43	0.024479
44	0.001869
45	0.020976
46	0.018274
47	0.003841
48	0.005083
49	0.059804
50	0.045928
51	0.020312
52	0.028312
53	0.015575
54	0.020884
55	0.045492
56	0.061178
57	0.018118
58	0.035184
59	0.032062
60	0.09508
61	0.012068
62	0.021716
63	0.04406
64	0.002073
65	0.005373
66	0.013388
67	0.086081
68	0.01942
69	0.027128
70	0.098667
71	0.070603
72	0.003203
73	0.016299
74	0.016137
75	0.017587
76	0.054965
77	0.04711
78	0.003084
79	0.029374
80	0.000483
81	0.011841
82	0.009756
83	0.016658
84	0.027397
85	0.005365
86	0.008825
87	0.038502
88	0.009361
89	0.012376
90	0.007004
91	0.007721
92	0.01812
93	0.015294
94	2.43E-02
95	0.008818
96	5.09E-03
97	0.019515
98	0.019679
99	0.025499
100	0.025011
101	0.03252
102	0.06089
103	0.040706
104	0.02822
105	0.048994
106	0.025223
107	0.01332
108	0.033386
109	0.023645
110	0.018386
111	0.016013
112	0.054081
113	0.010707
114	0.038378
115	0.05111
116	0.071128
117	0.006248
118	0.016231
119	0.022468
120	0.014871
121	0.018981
122	0.011777
123	0.024991
124	0.023594
125	0.006083
126	0.006203
127	4.78E-03
128	0.029695
129	0.003193
130	0.007001
131	5.30E-02
132	2.45E-02
133	3.63E-03
134	4.25E-02
135	6.18E-02
136	0.012218
137	3.96E-02
138	2.14E-02
139	1.55E-02
140	1.14E-02
141	1.39E-02
142	2.50E-02
143	2.36E-02
144	3.97E-02
145	3.28E-02
146	1.24E-02
147	0.031994
148	0.024142
149	5.90E-03
150	1.47E-02
151	7.91E-03
152	0.020642
153	0.047686
154	1.38E-02
155	2.76E-02
156	0.008041
157	0.014994
158	2.26E-02
159	1.40E-02
160	0.010565
161	1.33E-02
162	2.19E-02
163	5.17E-02
164	4.27E-03
165	6.42E-03
166	1.21E-02
167	8.66E-03
168	1.41E-02
169	0.003735
170	5.82E-03
171	6.70E-03
172	4.94E-02
173	1.60E-02
174	1.19E-02
175	0.025806
176	1.08E-02
177	0.041601
178	4.67E-02
179	6.42E-02
180	6.31E-02
181	2.64E-02
182	5.27E-03
183	1.57E-02
184	0.018979
185	1.50E-02
186	1.59E-02
187	2.29E-02
188	0.030669
189	3.10E-02
190	1.86E-02
191	1.82E-02
192	2.70E-02
193	3.22E-02
194	0.01183
195	0.072674
196	4.46E-02
197	4.30E-02
198	7.41E-02
199	7.64E-03
200	3.37E-02
201	2.83E-02
202	7.97E-02
203	4.07E-02
204	6.26E-02
205	3.97E-02
206	0.018635
207	1.13E-03
208	3.62E-02
209	2.87E-02
210	3.55E-03
211	2.43E-02
212	1.91E-02
213	3.73E-03
214	1.55E-02
215	6.44E-03
216	4.49E-02
217	2.58E-02
218	2.44E-02
219	5.71E-03
220	1.78E-02
221	9.77E-03
222	5.83E-03
223	4.54E-03
224	2.68E-02
225	4.28E-02
226	0.023461
227	0.005958
228	3.10E-02
229	7.55E-03
230	3.30E-02
231	1.35E-03
232	2.14E-02
233	1.89E-02
234	8.46E-03
235	3.10E-03
236	4.31E-02
237	1.42E-02
238	1.71E-02
239	9.08E-03
240	2.84E-02
241	5.96E-03
242	2.22E-02
243	1.91E-02
244	1.17E-02
245	4.51E-03
246	6.25E-03
247	1.09E-02
248	1.37E-02
249	3.78E-02
250	2.55E-02
251	1.09E-02
252	6.61E-03
253	6.95E-02
254	1.88E-03
255	3.31E-01
