byte	frequency
0	0.032696
1	1.10E-01
2	8.36E-02
3	9.29E-02
4	1.30E-01
5	1.03E-01
6	1.34E-01
7	1.73E-01
8	1.04E-01
9	0.177752
10	0.113022
11	2.27E-01
12	0.126564
13	0.140964
14	2.57E-01
15	0.286621
16	1.64E-01
17	0.184239
18	1.85E-01
19	2.04E-01
20	2.01E-01
21	1.46E-01
22	2.40E-01
23	2.03E-01
24	1.66E-01
25	2.25E-01
26	2.35E-01
27	2.02E-01
28	1.99E-01
29	1.85E-01
30	1.50E-01
31	2.35E-01
32	0.083919
33	0.17798
34	0.121035
35	0.149333
36	0.204475
37	0.198278
38	0.221542
39	0.267694
40	0.197589
41	0.189421
42	2.36E-01
43	0.204144
44	0.246118
45	0.197869
46	0.167931
47	0.166952
48	0.23939
49	0.257729
50	0.204587
51	0.20601
52	0.15985
53	0.205007
54	0.308983
55	0.273421
56	0.310195
57	0.281143
58	0.18517
59	0.16994
60	0.107848
61	0.11224
62	0.112338
63	0.087428
64	0.102894
65	0.141318
66	0.124243
67	0.197148
68	0.188515
69	0.153415
70	0.146928
71	0.172382
72	0.139738
73	0.23154
74	0.158301
75	0.265179
76	0.265478
77	0.292782
78	0.286151
79	0.149746
80	0.295115
81	0.249149
82	0.23409
83	0.298955
84	0.189516
85	0.267211
86	0.227379
87	0.314116
88	0.24782
89	0.315934
90	0.211801
91	0.302702
92	0.148111
93	0.293502
94	2.64E-01
95	0.172188
96	2.52E-01
97	0.117429
98	0.270479
99	0.145032
100	0.125598
101	0.121072
102	0.185656
103	0.222537
104	0.178348
105	0.108995
106	0.246378
107	0.22251
108	0.176023
109	0.17879
110	0.125516
111	0.125386
112	0.194865
113	0.172103
114	0.136388
115	0.12681
116	0.132308
117	0.176755
118	0.276813
119	0.18497
120	0.244439
121	0.222315
122	0.226422
123	0.215858
124	0.304887
125	0.209052
126	0.305797
127	3.03E-01
128	0.103887
129	0.129919
130	0.148928
131	2.03E-01
132	1.98E-01
133	1.47E-01
134	1.91E-01
135	2.16E-01
136	0.255003
137	1.36E-01
138	2.03E-01
139	1.92E-01
140	1.77E-01
141	2.41E-01
142	1.89E-01
143	2.25E-01
144	2.03E-01
145	1.97E-01
146	1.89E-01
147	0.263872
148	0.222924
149	1.47E-01
150	2.29E-01
151	2.13E-01
152	0.234642
153	0.241265
154	1.91E-01
155	2.87E-01
156	0.245842
157	0.246274
158	2.58E-01
159	1.81E-01
160	0.150394
161	2.56E-01
162	2.50E-01
163	2.11E-01
164	2.38E-01
165	2.51E-01
166	2.66E-01
167	2.30E-01
168	2.01E-01
169	0.163565
170	2.23E-01
171	2.27E-01
172	2.59E-01
173	2.28E-01
174	1.77E-01
175	0.255399
176	2.81E-01
177	0.260262
178	2.55E-01
179	2.49E-01
180	2.91E-01
181	1.90E-01
182	2.26E-01
183	2.39E-01
184	0.253371
185	2.39E-01
186	2.87E-01
187	2.83E-01
188	0.297698
189	1.07E-01
190	1.84E-01
191	1.62E-01
192	1.89E-01
193	1.54E-01
194	0.155835
195	0.152749
196	1.75E-01
197	1.36E-01
198	1.61E-01
199	1.01E-01
200	2.22E-01
201	2.56E-01
202	1.68E-01
203	2.30E-01
204	2.30E-01
205	2.04E-01
206	0.205333
207	2.30E-01
208	2.23E-01
209	2.04E-01
210	1.73E-01
211	2.31E-01
212	2.03E-01
213	2.37E-01
214	2.13E-01
215	2.51E-01
216	2.34E-01
217	3.18E-01
218	2.00E-01
219	1.99E-01
220	3.12E-01
221	2.27E-01
222	1.98E-01
223	3.06E-01
224	2.19E-01
225	2.88E-01
226	0.228529
227	0.28383
228	2.70E-01
229	2.39E-01
230	2.77E-01
231	2.42E-01
232	2.25E-01
233	2.07E-01
234	2.70E-01
235	2.73E-01
236	2.38E-01
237	2.43E-01
238	2.89E-01
239	2.18E-01
240	1.97E-01
241	1.69E-01
242	2.84E-01
243	2.26E-01
244	2.34E-01
245	2.85E-01
246	3.05E-01
247	2.40E-01
248	2.32E-01
249	2.20E-01
250	1.95E-01
251	2.67E-01
252	2.24E-01
253	1.71E-01
254	1.47E-01
255	8.71E-02
