byte	frequency
0	0.980161
1	5.42E-01
2	5.51E-01
3	3.39E-01
4	4.66E-01
5	4.89E-01
6	4.21E-01
7	5.07E-01
8	4.69E-01
9	0.509846
10	0.486465
11	4.99E-01
12	0.494443
13	0.497717
14	4.83E-01
15	0.483303
16	4.10E-01
17	0.492503
18	4.78E-01
19	5.12E-01
20	4.54E-01
21	4.92E-01
22	4.74E-01
23	4.74E-01
24	4.94E-01
25	4.65E-01
26	4.65E-01
27	5.03E-01
28	4.86E-01
29	4.92E-01
30	4.93E-01
31	4.17E-01
32	0.421208
33	0.399874
34	0.443679
35	0.484148
36	0.469553
37	0.471121
38	0.48964
39	0.51322
40	0.488857
41	0.44773
42	4.56E-01
43	0.473044
44	0.441909
45	0.52333
46	0.377345
47	0.314538
48	0.420769
49	0.456223
50	0.451886
51	0.471419
52	0.46742
53	0.489074
54	0.468777
55	0.491864
56	0.426952
57	0.466802
58	0.498863
59	0.491628
60	0.459237
61	0.505898
62	0.467203
63	0.43236
64	0.495094
65	0.477453
66	0.458964
67	0.498828
68	0.438602
69	0.481506
70	0.454972
71	0.466817
72	0.442218
73	0.480142
74	0.426024
75	0.433886
76	0.420108
77	0.516571
78	0.440248
79	0.489833
80	0.486274
81	0.417734
82	0.465651
83	0.48341
84	0.466028
85	0.447693
86	0.458549
87	0.491219
88	0.482949
89	0.454987
90	0.470376
91	0.495286
92	0.453941
93	0.499812
94	4.55E-01
95	0.436052
96	4.52E-01
97	0.44277
98	0.47223
99	0.522115
100	0.292894
101	0.275687
102	0.461025
103	0.528561
104	0.512745
105	0.306709
106	0.46554
107	0.469301
108	0.22527
109	0.497994
110	0.483281
111	0.535668
112	0.285655
113	0.465143
114	0.419646
115	0.186871
116	0.412884
117	0.491019
118	0.423467
119	0.526894
120	0.448556
121	0.437392
122	0.466706
123	0.467621
124	0.442246
125	0.485625
126	0.426563
127	4.52E-01
128	0.49568
129	0.48473
130	0.4526
131	4.59E-01
132	4.76E-01
133	4.90E-01
134	4.60E-01
135	4.83E-01
136	0.491707
137	4.89E-01
138	4.68E-01
139	4.98E-01
140	4.77E-01
141	4.88E-01
142	4.47E-01
143	4.54E-01
144	4.43E-01
145	4.31E-01
146	4.17E-01
147	0.461121
148	0.450614
149	4.58E-01
150	4.57E-01
151	4.91E-01
152	0.451236
153	0.454102

154	4.64E-01
155	4.73E-01
156	0.444314
157	0.471754
158	4.89E-01
159	4.70E-01
160	0.503374
161	4.71E-01
162	4.70E-01
163	4.37E-01
164	4.47E-01
165	4.53E-01
166	4.49E-01
167	4.87E-01
168	4.89E-01
169	0.471328
170	4.56E-01
171	4.95E-01
172	4.55E-01
173	4.94E-01
174	4.78E-01
175	0.485345
176	4.45E-01
177	0.480594
178	4.52E-01
179	4.79E-01
180	4.86E-01
181	4.98E-01
182	4.67E-01
183	4.87E-01
184	0.469231
185	4.63E-01
186	4.84E-01
187	4.69E-01
188	0.49327
189	4.54E-01
190	4.66E-01
191	4.42E-01
192	4.86E-01
193	4.37E-01
194	0.49757
195	0.440129
196	4.61E-01
197	4.59E-01
198	5.13E-01
199	4.92E-01
200	4.45E-01
201	4.53E-01
202	4.61E-01
203	4.57E-01
204	4.53E-01
205	4.39E-01
206	0.454086
207	4.90E-01
208	4.90E-01
209	4.50E-01
210	4.82E-01
211	4.72E-01
212	4.82E-01
213	4.72E-01
214	5.00E-01
215	4.93E-01
216	4.52E-01
217	4.67E-01
218	4.96E-01
219	4.37E-01
220	4.52E-01
221	4.37E-01
222	4.92E-01
223	4.59E-01
224	4.81E-01
225	4.60E-01
226	0.458804
227	0.45922
228	4.55E-01
229	4.58E-01
230	4.34E-01
231	4.57E-01
232	4.25E-01
233	4.87E-01
234	4.81E-01
235	4.68E-01
236	4.70E-01
237	4.94E-01
238	4.65E-01
239	4.38E-01
240	4.34E-01
241	4.41E-01
242	4.49E-01
243	4.34E-01
244	4.56E-01
245	4.68E-01
246	4.82E-01
247	4.79E-01
248	4.08E-01
249	4.38E-01
250	4.63E-01
251	4.73E-01
252	4.31E-01
253	4.64E-01
254	4.41E-01
255	4.09E-01
