byte	frequency
0	0.999762
1	1.00E+00
2	1.00E+00
3	1.00E+00
4	1.00E+00
5	1.00E+00
6	1.00E+00
7	1.00E+00
8	1.00E+00
9	0.055674
10	0.170558
11	1.00E+00
12	0.999686
13	0.195331
14	1.00E+00
15	0.999956
16	1.00E+00
17	0.999952
18	1.00E+00
19	1.00E+00
20	1.00E+00
21	1.00E+00
22	1.00E+00
23	1.00E+00
24	1.00E+00
25	1.00E+00
26	1.00E+00
27	1.00E+00
28	1.00E+00
29	1.00E+00
30	1.00E+00
31	1.00E+00
32	0.04067
33	0.663405
34	0.073755
35	0.545188
36	0.802842
37	0.739146
38	0.54069
39	0.347765
40	0.158394
41	0.158592
42	3.89E-01
43	0.607413
44	0.262259
45	0.195493
46	0.143801
47	0.162153
48	0.175625
49	0.247354
50	0.243807
51	0.346476
52	0.366854
53	0.312842
54	0.395692
55	0.480552
56	0.44949
57	0.429692
58	0.172527
59	0.1602
60	0.095479
61	0.123087
62	0.101951
63	0.778353
64	0.929193
65	0.492153
66	0.692253
67	0.50949
68	0.542805
69	0.528783
70	0.636027
71	0.701778
72	0.730526
73	0.579839
74	0.883473
75	0.877183
76	0.612355
77	0.583847
78	0.585425
79	0.605364
80	0.604503
81	0.888313
82	0.599847
83	0.423013
84	0.511163
85	0.722657
86	0.852655
87	0.75972
88	0.894748
89	0.851429
90	0.931594
91	0.60383
92	0.867446
93	0.603954
94	9.61E-01
95	0.243323
96	9.95E-01
97	0.109217
98	0.231693
99	0.177999
100	0.148325
101	0.089388
102	0.251048
103	0.247542
104	0.231297
105	0.11047
106	0.590792
107	0.428292
108	0.148069
109	0.246321
110	0.131749
111	0.122651
112	0.173059
113	0.781093
114	0.12436
115	0.130736
116	0.103747
117	0.222302
118	0.269017
119	0.313494
120	0.296956
121	0.329087
122	0.654429
123	0.167207
124	0.708101
125	0.166902
126	0.993013
127	1.00E+00
128	0.985775
129	0.998811
130	0.998769
131	9.99E-01
132	9.99E-01
133	9.99E-01
134	9.99E-01
135	9.99E-01
136	0.999145
137	9.99E-01
138	9.99E-01
139	9.99E-01
140	9.99E-01
141	9.99E-01
142	9.99E-01
143	9.99E-01
144	9.99E-01
145	9.99E-01
146	9.99E-01
147	0.996004
148	0.997664
149	9.99E-01
150	9.99E-01
151	9.99E-01
152	0.99906
153	0.995593
154	9.99E-01
155	9.99E-01
156	0.997465
157	0.998209
158	9.99E-01
159	9.99E-01
160	0.998908
161	9.98E-01
162	9.99E-01
163	9.99E-01
164	9.99E-01
165	9.99E-01
166	9.98E-01
167	9.99E-01
168	9.99E-01
169	0.996639
170	9.99E-01
171	9.99E-01
172	9.99E-01
173	9.99E-01
174	9.99E-01
175	0.998981
176	9.98E-01
177	0.998801
178	9.99E-01
179	9.99E-01
180	9.99E-01
181	9.99E-01
182	9.99E-01
183	9.99E-01
184	0.998843
185	9.99E-01
186	9.98E-01
187	9.96E-01
188	0.998688
189	9.99E-01
190	9.99E-01
191	9.97E-01
192	1.00E+00
193	1.00E+00
194	0.994638
195	0.995396
196	9.99E-01
197	9.99E-01
198	1.00E+00
199	1.00E+00
200	1.00E+00
201	1.00E+00
202	1.00E+00
203	1.00E+00
204	1.00E+00
205	1.00E+00
206	0.999307
207	1.00E+00
208	9.99E-01
209	9.99E-01
210	1.00E+00
211	1.00E+00
212	1.00E+00
213	1.00E+00
214	1.00E+00
215	1.00E+00
216	1.00E+00
217	1.00E+00
218	1.00E+00
219	1.00E+00
220	1.00E+00
221	1.00E+00
222	1.00E+00
223	1.00E+00
224	1.00E+00
225	1.00E+00
226	0.985633
227	0.999105
228	9.99E-01
229	9.99E-01
230	9.99E-01
231	9.99E-01
232	9.99E-01
233	9.99E-01
234	1.00E+00
235	1.00E+00
236	1.00E+00
237	1.00E+00
238	1.00E+00
239	9.97E-01
240	1.00E+00
241	1.00E+00
242	1.00E+00
243	1.00E+00
244	1.00E+00
245	1.00E+00
246	1.00E+00
247	1.00E+00
248	1.00E+00
249	1.00E+00
250	1.00E+00
251	1.00E+00
252	1.00E+00
253	1.00E+00
254	1.00E+00
255	1.00E+00
