byte	frequency
0	0.052232
1	2.11E-01
2	2.21E-01
3	1.94E-01
4	2.41E-01
5	2.35E-01
6	2.10E-01
7	1.74E-01
8	2.43E-01
9	0.225924
10	0.204257
11	2.29E-01
12	0.191819
13	0.209661
14	1.78E-01
15	0.176255
16	1.66E-01
17	0.217977
18	1.90E-01
19	2.29E-01
20	1.53E-01
21	1.46E-01
22	1.86E-01
23	2.40E-01
24	1.76E-01
25	1.81E-01
26	2.06E-01
27	1.14E-01
28	1.74E-01
29	1.92E-01
30	1.57E-01
31	1.79E-01
32	0.154399
33	0.222705
34	0.171095
35	0.172284
36	0.122832
37	0.151285
38	0.199344
39	0.181528
40	0.165566
41	0.187283
42	1.15E-01
43	0.15637
44	0.117295
45	0.123568
46	0.172887
47	0.184826
48	0.173594
49	0.177499
50	0.128336
51	0.132834
52	0.192892
53	0.169824
54	0.126691
55	0.144844
56	0.180865
57	0.154136
58	0.189976
59	0.151854
60	0.170301
61	0.131946
62	0.175653
63	0.155388
64	0.247224
65	0.205069
66	0.212163
67	0.213041
68	0.163631
69	0.152124
70	0.164366
71	0.167671
72	0.178262
73	0.110635
74	0.174628
75	0.132661
76	0.180251
77	0.154412
78	0.172731
79	0.18228
80	0.22536
81	0.150003
82	0.158259
83	0.143508
84	0.139038
85	0.179303
86	0.135675
87	0.174663
88	0.143304
89	0.122422
90	0.125924
91	0.117483
92	0.176784
93	0.217043
94	1.90E-01
95	0.199245
96	1.80E-01
97	0.209594
98	0.159224
99	0.115643
100	0.134222
101	0.127697
102	0.142425
103	0.116787
104	0.184305
105	0.150885
106	0.136672
107	0.145078
108	0.140748
109	0.092274
110	0.103349
111	0.137441
112	0.175834
113	0.167928
114	0.125446
115	0.105053
116	0.179097
117	0.214241
118	0.108385
119	0.16901
120	0.172218
121	0.104643
122	0.167612
123	0.156591
124	0.192252
125	0.178822
126	0.171326
127	1.85E-01
128	0.191487
129	0.172697
130	0.204621
131	1.79E-01
132	2.18E-01
133	1.73E-01
134	2.21E-01
135	2.22E-01
136	0.165096
137	1.91E-01
138	1.19E-01
139	1.91E-01
140	1.41E-01
141	1.05E-01
142	1.67E-01
143	1.72E-01
144	1.67E-01
145	1.31E-01
146	9.96E-02
147	0.127321
148	0.196439
149	1.09E-01
150	1.04E-01
151	1.69E-01
152	0.196651
153	0.130652
154	1.76E-01
155	1.59E-01
156	0.180783
157	0.144614
158	1.16E-01
159	1.45E-01
160	0.212175
161	2.04E-01
162	1.60E-01
163	1.64E-01
164	1.73E-01
165	1.27E-01
166	1.40E-01
167	1.67E-01
168	1.65E-01
169	0.110204
170	1.89E-01
171	1.60E-01
172	1.34E-01
173	1.10E-01
174	2.06E-01
175	0.167199
176	1.94E-01
177	0.113984
178	1.17E-01
179	1.14E-01
180	1.13E-01
181	1.19E-01
182	1.21E-01
183	1.21E-01
184	0.19917
185	1.10E-01
186	2.12E-01
187	1.62E-01
188	0.127798
189	1.69E-01
190	1.84E-01
191	1.84E-01
192	1.88E-01
193	1.95E-01
194	0.209895
195	0.222169
196	1.78E-01
197	1.37E-01
198	9.60E-02
199	1.75E-01
200	1.70E-01
201	1.14E-01
202	1.18E-01
203	1.31E-01
204	1.44E-01
205	1.29E-01
206	0.123017
207	1.13E-01
208	2.20E-01
209	1.85E-01
210	1.55E-01
211	1.76E-01
212	1.70E-01
213	1.60E-01
214	1.15E-01
215	2.30E-01
216	1.55E-01
217	1.29E-01
218	1.02E-01
219	1.16E-01
220	1.17E-01
221	1.67E-01
222	1.38E-01
223	1.82E-01
224	1.87E-01
225	2.10E-01
226	0.171371
227	0.107145
228	1.28E-01
229	1.22E-01
230	1.18E-01
231	1.16E-01
232	2.08E-01
233	1.83E-01
234	1.65E-01
235	2.34E-01
236	1.34E-01
237	1.20E-01
238	1.82E-01
239	1.77E-01
240	2.03E-01
241	1.13E-01
242	1.24E-01
243	1.21E-01
244	1.93E-01
245	1.75E-01
246	1.43E-01
247	1.81E-01
248	1.58E-01
249	1.37E-01
250	1.92E-01
251	1.90E-01
252	1.59E-01
253	1.76E-01
254	1.79E-01
255	9.61E-02
