byte	frequency
0	1
1	1.00E+00
2	1.00E+00
3	1.00E+00
4	1.00E+00
5	1.00E+00
6	1.00E+00
7	1.00E+00
8	1.00E+00
9	0.388955
10	0.393454
11	1.00E+00
12	1
13	0.518997
14	1.00E+00
15	1
16	1.00E+00
17	1
18	1.00E+00
19	1.00E+00
20	1.00E+00
21	1.00E+00
22	1.00E+00
23	1.00E+00
24	1.00E+00
25	1.00E+00
26	1.00E+00
27	1.00E+00
28	1.00E+00
29	1.00E+00
30	1.00E+00
31	1.00E+00
32	0.079103
33	0.880779
34	0.252424
35	0.591303
36	0.996374
37	0.953223
38	0.682856
39	0.806885
40	0.776866
41	0.774231
42	9.94E-01
43	0.966755
44	0.478075
45	0.305373
46	0.323513
47	0.165776
48	0.239627
49	0.296192
50	0.28934
51	0.240737
52	0.230629
53	0.315121
54	0.34444
55	0.39266
56	0.268387
57	0.322619
58	0.175674
59	0.607932
60	0.366278
61	0.392718
62	0.366273
63	0.552665
64	0.99563
65	0.537194
66	0.713424
67	0.475633
68	0.189932
69	0.553936
70	0.590375
71	0.751342
72	0.831135
73	0.472489
74	0.87371
75	0.907474
76	0.48105
77	0.326996
78	0.519715
79	0.447697
80	0.497928
81	0.976395
82	0.533225
83	0.399333
84	0.599996
85	0.421747
86	0.573522
87	0.778136
88	0.817933
89	0.878117
90	0.949983
91	0.834968
92	0.995917
93	0.835773
94	1.00E+00
95	0.704624
96	1.00E+00
97	0.311324
98	0.479457
99	0.196056
100	0.189117
101	0.25663
102	0.350968
103	0.337567
104	0.485488
105	0.147162
106	0.758296
107	0.175652
108	0.299809
109	0.350811
110	0.251886
111	0.281469
112	0.341567
113	0.837367
114	0.264492
115	0.207766
116	0.144291
117	0.278791
118	0.499613
119	0.2327
120	0.365941
121	0.433231
122	0.848965
123	0.993533
124	0.999867
125	0.993533
126	0.993694
127	1.00E+00
128	0.952316
129	0.9799
130	0.982822
131	9.69E-01
132	9.96E-01
133	9.93E-01
134	9.89E-01
135	9.96E-01
136	0.989889
137	9.95E-01
138	9.98E-01
139	9.94E-01
140	9.96E-01
141	9.87E-01
142	1.00E+00
143	9.93E-01
144	9.82E-01
145	9.88E-01
146	9.95E-01
147	0.986036
148	0.985744
149	9.92E-01
150	9.96E-01
151	9.91E-01
152	0.989519
153	0.980596
154	9.96E-01
155	9.92E-01
156	0.985791
157	0.988343
158	9.95E-01
159	9.96E-01
160	0.991118
161	9.84E-01
162	9.96E-01
163	9.91E-01
164	9.90E-01
165	9.98E-01
166	9.96E-01
167	9.83E-01
168	9.90E-01
169	0.98283
170	9.89E-01
171	9.93E-01
172	9.97E-01
173	9.94E-01
174	9.98E-01
175	0.998173
176	9.74E-01
177	0.983683
178	9.86E-01
179	9.88E-01
180	9.81E-01
181	9.79E-01
182	9.93E-01
183	9.88E-01
184	0.973282
185	9.88E-01
186	9.88E-01
187	9.86E-01
188	0.991088
189	9.81E-01
190	9.84E-01
191	9.89E-01
192	1.00E+00
193	1.00E+00
194	0.986856
195	0.964277
196	9.88E-01
197	9.96E-01
198	1.00E+00
199	1.00E+00
200	1.00E+00
201	1.00E+00
202	1.00E+00
203	1.00E+00
204	1.00E+00
205	1.00E+00
206	0.97471
207	9.89E-01
208	9.59E-01
209	9.74E-01
210	9.99E-01
211	1.00E+00
212	1.00E+00
213	9.84E-01
214	9.95E-01
215	9.80E-01
216	9.87E-01
217	9.88E-01
218	1.00E+00
219	1.00E+00
220	1.00E+00
221	1.00E+00
222	1.00E+00
223	1.00E+00
224	9.73E-01
225	9.72E-01
226	0.965202
227	0.997262
228	9.98E-01
229	9.86E-01
230	9.91E-01
231	9.87E-01
232	9.98E-01
233	9.96E-01
234	9.99E-01
235	9.99E-01
236	9.92E-01
237	9.99E-01
238	1.00E+00
239	1.00E+00
240	1.00E+00
241	1.00E+00
242	1.00E+00
243	1.00E+00
244	1.00E+00
245	1.00E+00
246	9.81E-01
247	1.00E+00
248	1.00E+00
249	1.00E+00
250	1.00E+00
251	1.00E+00
252	1.00E+00
253	1.00E+00
254	1.00E+00
255	1.00E+00
