byte	frequency
0	0.035108
1	2.70E-02
2	2.89E-02
3	2.70E-02
4	2.66E-02
5	3.52E-02
6	4.80E-02
7	4.58E-02
8	3.69E-02
9	0.048077
10	0.045978
11	5.05E-02
12	0.037869
13	0.03214
14	4.28E-02
15	0.045976
16	2.71E-02
17	0.042329
18	4.59E-02
19	5.21E-02
20	3.53E-02
21	6.52E-02
22	4.24E-02
23	6.64E-02
24	3.38E-02
25	4.95E-02
26	3.24E-02
27	4.70E-02
28	4.27E-02
29	5.46E-02
30	4.00E-02
31	3.82E-02
32	0.108576
33	0.03248
34	0.035626
35	0.056866
36	0.033832
37	0.063681
38	0.052751
39	0.068065
40	0.047915
41	0.057651
42	5.30E-02
43	0.070734
44	0.056084
45	0.069612
46	0.064784
47	0.078112
48	0.059246
49	0.071526
50	0.059639
51	0.086257
52	0.06566
53	0.079989
54	0.075283
55	0.071515
56	0.055275
57	0.082379
58	0.080323
59	0.093933
60	0.082094
61	0.095445
62	0.094029
63	0.094219
64	0.038056
65	0.069149
66	0.059341
67	0.076646
68	0.080933
69	0.097921
70	0.102588
71	0.101123
72	0.062258
73	0.104573
74	0.093304
75	0.112889
76	0.098004
77	0.108077
78	0.109678
79	0.106641
80	0.077509
81	0.117985
82	0.091578
83	0.109966
84	0.09688
85	0.104178
86	0.111853
87	0.113513
88	0.081315
89	0.109237
90	0.104358
91	0.097691
92	0.114541
93	0.102757
94	1.11E-01
95	0.118669
96	5.27E-02
97	0.088304
98	0.08386
99	0.091612
100	0.074439
101	0.089441
102	0.092587
103	0.09347
104	0.083524
105	0.08448
106	0.077787
107	0.08989
108	0.065952
109	0.085048
110	0.08139
111	0.096736
112	0.050888
113	0.070478
114	0.066169
115	0.094938
116	0.071801
117	0.098873
118	0.074981
119	0.097104
120	0.057006
121	0.086594
122	0.067111
123	0.099693
124	0.07299
125	0.095183
126	0.065922
127	9.40E-02
128	0.01176
129	0.0284
130	0.033936
131	4.55E-02
132	4.26E-02
133	5.94E-02
134	4.68E-02
135	4.68E-02
136	0.040674
137	6.40E-02
138	5.57E-02
139	7.39E-02
140	6.35E-02
141	5.89E-02
142	5.36E-02
143	6.33E-02
144	2.80E-02
145	5.62E-02
146	4.52E-02
147	0.063035
148	0.040507
149	6.06E-02
150	5.66E-02
151	8.28E-02
152	0.03816
153	0.060789
154	5.53E-02
155	6.31E-02
156	0.059812
157	0.098311
158	7.59E-02
159	1.02E-01
160	0.012844
161	5.22E-02
162	3.84E-02
163	5.60E-02
164	5.51E-02
165	6.26E-02
166	5.21E-02
167	7.54E-02
168	4.32E-02
169	0.052708
170	5.55E-02
171	6.95E-02
172	4.91E-02
173	6.61E-02
174	5.42E-02
175	0.066829
176	2.78E-02
177	0.062171
178	5.25E-02
179	6.41E-02
180	4.74E-02
181	6.23E-02
182	4.50E-02
183	8.22E-02
184	0.035499
185	6.87E-02
186	4.78E-02
187	8.05E-02
188	0.044687
189	7.54E-02
190	5.85E-02
191	8.33E-02
192	5.08E-02
193	3.98E-02
194	0.047296
195	0.038643
196	4.37E-02
197	5.08E-02
198	5.94E-02
199	7.19E-02
200	4.73E-02
201	5.58E-02
202	6.88E-02
203	6.25E-02
204	5.84E-02
205	7.43E-02
206	0.067177
207	8.35E-02
208	3.23E-02
209	6.25E-02
210	5.30E-02
211	8.30E-02
212	6.38E-02
213	8.62E-02
214	6.57E-02
215	1.01E-01
216	4.46E-02
217	8.01E-02
218	5.89E-02
219	8.73E-02
220	6.46E-02
221	1.06E-01
222	7.25E-02
223	1.30E-01
224	2.73E-02
225	4.94E-02
226	0.050072
227	0.068504
228	8.36E-02
229	8.92E-02
230	6.91E-02
231	1.15E-01
232	4.14E-02
233	7.33E-02
234	7.33E-02
235	8.98E-02
236	5.65E-02
237	1.06E-01
238	8.17E-02
239	1.19E-01
240	5.06E-02
241	7.74E-02
242	7.99E-02
243	1.12E-01
244	8.21E-02
245	1.26E-01
246	9.23E-02
247	1.44E-01
248	6.18E-02
249	1.10E-01
250	8.00E-02
251	1.16E-01
252	5.84E-02
253	1.06E-01
254	6.48E-02
255	1.23E-01
