byte	frequency
0	0.972651
1	4.18E-01
2	2.46E-01
3	2.44E-01
4	2.16E-01
5	1.90E-01
6	2.28E-01
7	2.43E-01
8	2.87E-01
9	0.242211
10	0.219552
11	2.28E-01
12	0.225452
13	0.230499
14	2.40E-01
15	0.267084
16	2.18E-01
17	0.22862
18	2.26E-01
19	2.34E-01
20	2.12E-01
21	2.32E-01
22	2.21E-01
23	2.26E-01
24	2.17E-01
25	2.12E-01
26	2.15E-01
27	2.18E-01
28	2.16E-01
29	2.24E-01
30	2.14E-01
31	2.23E-01
32	0.173262
33	0.200616
34	0.214545
35	0.218427
36	0.216177
37	0.224568
38	0.229343
39	0.241415
40	0.209932
41	0.208641
42	2.27E-01
43	0.219554
44	0.214804
45	0.217219
46	0.21852
47	0.224022
48	0.206147
49	0.210913
50	0.219544
51	0.212898
52	0.214385
53	0.22441
54	0.216236
55	0.220045
56	0.211501
57	0.211609
58	0.217099
59	0.229244
60	0.206617
61	0.20244
62	0.215632
63	0.233403
64	0.209093
65	0.199242
66	0.200252
67	0.221587
68	0.191143
69	0.220681
70	0.212418
71	0.214932
72	0.215903
73	0.221875
74	0.225083
75	0.228406
76	0.215689
77	0.230763
78	0.219077
79	0.222668
80	0.208773
81	0.227894
82	0.214904
83	0.215814
84	0.21701
85	0.21278
86	0.224018
87	0.222579
88	0.216114
89	0.213897
90	0.230422
91	0.232621
92	0.2193
93	0.230271
94	2.27E-01
95	0.226324
96	2.08E-01
97	0.211264
98	0.217494
99	0.214581
100	0.222518
101	0.215314
102	0.20794
103	0.209172
104	0.207926
105	0.229927
106	0.232918
107	0.231758
108	0.22164
109	0.221453
110	0.223565
111	0.222299
112	0.215061
113	0.218427
114	0.222401
115	0.218777
116	0.226756
117	0.227261
118	0.214747
119	0.22344
120	0.212505
121	0.204958
122	0.218492
123	0.228048
124	0.218816
125	0.238295
126	0.22905
127	2.24E-01
128	0.210327
129	0.205464
130	0.203595
131	2.12E-01
132	2.13E-01
133	2.08E-01
134	2.15E-01
135	2.22E-01
136	0.213861
137	2.17E-01
138	2.21E-01
139	2.21E-01
140	2.10E-01
141	2.17E-01
142	2.21E-01
143	2.12E-01
144	2.23E-01
145	2.17E-01
146	2.16E-01
147	0.233293
148	0.210048
149	2.17E-01
150	2.12E-01
151	2.20E-01
152	0.213745
153	0.221247
154	2.16E-01
155	2.30E-01
156	0.202552
157	0.215049
158	2.09E-01
159	2.45E-01
160	0.262996
161	2.10E-01
162	2.11E-01
163	2.15E-01
164	2.25E-01
165	2.25E-01
166	2.21E-01
167	2.14E-01
168	2.22E-01
169	0.222389
170	2.17E-01
171	2.35E-01
172	2.24E-01
173	2.33E-01
174	2.31E-01
175	0.212871
176	2.12E-01
177	0.224118
178	2.17E-01
179	2.10E-01
180	2.19E-01
181	2.30E-01
182	2.30E-01
183	2.30E-01
184	0.22479
185	2.21E-01
186	2.33E-01
187	2.28E-01
188	0.220205
189	2.62E-01
190	2.41E-01
191	2.23E-01
192	2.13E-01
193	2.10E-01
194	0.216303
195	0.214538
196	2.31E-01
197	2.18E-01
198	2.05E-01
199	2.25E-01
200	2.96E-01
201	2.31E-01
202	2.11E-01
203	2.27E-01
204	2.09E-01
205	2.20E-01
206	0.199182
207	2.02E-01
208	2.13E-01
209	2.08E-01
210	2.33E-01
211	2.31E-01
212	2.28E-01
213	2.30E-01
214	2.32E-01
215	2.37E-01
216	2.27E-01
217	2.17E-01
218	2.26E-01
219	2.24E-01
220	2.33E-01
221	2.52E-01
222	2.26E-01
223	2.30E-01
224	2.09E-01
225	2.16E-01
226	0.236112
227	0.212058
228	2.28E-01
229	2.22E-01
230	2.17E-01
231	1.99E-01
232	2.17E-01
233	2.30E-01
234	2.23E-01
235	2.40E-01
236	2.21E-01
237	2.30E-01
238	2.21E-01
239	2.31E-01
240	2.13E-01
241	2.24E-01
242	2.27E-01
243	2.13E-01
244	2.23E-01
245	2.31E-01
246	2.24E-01
247	2.37E-01
248	2.19E-01
249	2.57E-01
250	2.30E-01
251	2.35E-01
252	2.25E-01
253	2.29E-01
254	2.21E-01
255	2.01E-01
