byte	frequency
0	0.959379
1	3.14E-01
2	3.07E-01
3	2.86E-01
4	2.73E-01
5	3.02E-01
6	3.26E-01
7	2.53E-01
8	2.91E-01
9	0.280199
10	0.356499
11	2.79E-01
12	0.261279
13	0.312803
14	2.53E-01
15	0.291882
16	2.92E-01
17	0.28297
18	2.69E-01
19	2.90E-01
20	3.06E-01
21	4.06E-01
22	3.58E-01
23	3.40E-01
24	2.89E-01
25	2.21E-01
26	2.64E-01
27	3.24E-01
28	2.63E-01
29	2.84E-01
30	3.00E-01
31	3.21E-01
32	0.288105
33	0.294123
34	0.27365
35	0.240092
36	0.245588
37	0.278585
38	0.259955
39	0.250167
40	0.280944
41	0.256873
42	3.70E-01
43	0.381464
44	0.269627
45	0.328543
46	0.376039
47	0.271602
48	0.279728
49	0.296115
50	0.212711
51	0.217761
52	0.248774
53	0.300858
54	0.278513
55	0.297198
56	0.261425
57	0.199929
58	0.254481
59	0.238468
60	0.344976
61	0.374595
62	0.356422
63	0.279072
64	0.2843
65	0.282717
66	0.318233
67	0.344253
68	0.264873
69	0.362627
70	0.231824
71	0.297615
72	0.258832
73	0.280362
74	0.293239
75	0.350266
76	0.287996
77	0.24445
78	0.211063
79	0.293866
80	0.315954
81	0.307581
82	0.301948
83	0.281828
84	0.326156
85	0.327292
86	0.31881
87	0.37435
88	0.293997
89	0.327827
90	0.310604
91	0.305009
92	0.340026
93	0.350008
94	2.94E-01
95	0.335328
96	2.90E-01
97	0.319375
98	0.287456
99	0.270981
100	0.233681
101	0.292891
102	0.228991
103	0.30231
104	0.29574
105	0.238551
106	0.328259
107	0.341916
108	0.259938
109	0.238618
110	0.299823
111	0.290331
112	0.281487
113	0.297024
114	0.277786
115	0.199529
116	0.266261
117	0.298199
118	0.281509
119	0.313519
120	0.326657
121	0.312671
122	0.329754
123	0.332037
124	0.360213
125	0.358669
126	0.299778
127	2.97E-01
128	0.279732
129	0.268111
130	0.31357
131	3.18E-01
132	2.99E-01
133	3.02E-01
134	2.70E-01
135	3.21E-01
136	0.305146
137	2.82E-01
138	3.05E-01
139	3.78E-01
140	2.13E-01
141	2.43E-01
142	2.81E-01
143	3.28E-01
144	3.14E-01
145	2.53E-01
146	2.72E-01
147	0.239286
148	0.279435
149	3.48E-01
150	3.36E-01
151	3.40E-01
152	0.283869
153	0.221033
154	2.48E-01
155	2.53E-01
156	0.199636
157	0.255845
158	3.47E-01
159	3.24E-01
160	0.307433
161	3.43E-01
162	3.17E-01
163	2.92E-01
164	2.74E-01
165	3.24E-01
166	2.45E-01
167	2.31E-01
168	3.61E-01
169	0.314028
170	3.22E-01
171	3.54E-01
172	3.76E-01
173	2.79E-01
174	3.42E-01
175	0.341227
176	3.39E-01
177	0.276622
178	3.55E-01
179	3.04E-01
180	2.99E-01
181	3.23E-01
182	2.32E-01
183	3.06E-01
184	0.370428
185	2.92E-01
186	3.54E-01
187	3.23E-01
188	0.279985
189	3.07E-01
190	3.48E-01
191	3.28E-01
192	2.84E-01
193	2.92E-01
194	0.282795
195	0.290079
196	3.32E-01
197	3.08E-01
198	2.59E-01
199	3.02E-01
200	2.52E-01
201	2.33E-01
202	3.13E-01
203	3.18E-01
204	2.63E-01
205	2.57E-01
206	0.285825
207	3.51E-01
208	3.40E-01
209	2.84E-01
210	2.79E-01
211	2.09E-01
212	3.45E-01
213	3.30E-01
214	3.16E-01
215	3.14E-01
216	2.94E-01
217	3.31E-01
218	2.82E-01
219	2.20E-01
220	3.23E-01
221	3.11E-01
222	3.12E-01
223	3.38E-01
224	3.17E-01
225	3.30E-01
226	0.307866
227	0.26512
228	2.77E-01
229	3.14E-01
230	2.62E-01
231	3.24E-01
232	3.30E-01
233	2.54E-01
234	3.55E-01
235	2.96E-01
236	3.23E-01
237	2.59E-01
238	3.31E-01
239	3.15E-01
240	2.78E-01
241	2.75E-01
242	3.54E-01
243	3.13E-01
244	3.02E-01
245	3.25E-01
246	3.07E-01
247	3.23E-01
248	3.39E-01
249	3.76E-01
250	3.31E-01
251	3.32E-01
252	3.60E-01
253	2.87E-01
254	2.94E-01
255	2.54E-01
