byte	frequency
0	1
1	1.00E+00
2	1.00E+00
3	1.00E+00
4	1.00E+00
5	1.00E+00
6	1.00E+00
7	1.00E+00
8	1.00E+00
9	0.827592
10	0.516772
11	1.00E+00
12	1
13	0.990567
14	1.00E+00
15	1
16	1.00E+00
17	1
18	1.00E+00
19	1.00E+00
20	1.00E+00
21	1.00E+00
22	1.00E+00
23	1.00E+00
24	1.00E+00
25	1.00E+00
26	1.00E+00
27	1.00E+00
28	1.00E+00
29	1.00E+00
30	1.00E+00
31	1.00E+00
32	0.006987
33	0.765916
34	0.550569
35	0.938255
36	0.758206
37	0.979036
38	0.599701
39	0.242571
40	0.230369
41	0.230616
42	7.71E-01
43	0.405612
44	0.342888
45	0.64975
46	0.265699
47	0.583059
48	0.474208
49	0.661635
50	0.802774
51	0.937349
52	0.974154
53	0.968831
54	0.97767
55	0.973007
56	0.97907
57	0.934693
58	0.406988
59	0.43399
60	0.804169
61	0.178607
62	0.856365
63	0.732499
64	0.985059
65	0.898064
66	0.825919
67	0.834717
68	0.876731
69	0.829197
70	0.733135
71	0.911173
72	0.831053
73	0.874724
74	0.959618
75	0.970807
76	0.766526
77	0.83967
78	0.699683
79	0.802339
80	0.764157
81	0.926269
82	0.86627
83	0.668607
84	0.642188
85	0.922253
86	0.934495
87	0.908798
88	0.947223
89	0.962068
90	0.980486
91	0.406849
92	0.639676
93	0.403649
94	9.43E-01
95	0.685251
96	9.97E-01
97	0.131755
98	0.345502
99	0.249122
100	0.292824
101	0.110817
102	0.210164
103	0.192514
104	0.599465
105	0.145225
106	0.803699
107	0.859876
108	0.240876
109	0.495098
110	0.22186
111	0.153715
112	0.287717
113	0.784953
114	0.11766
115	0.150981
116	0.084373
117	0.487716
118	0.705189
119	0.591933
120	0.38506
121	0.486154
122	0.887648
123	0.527609
124	0.754215
125	0.528151
126	0.998087
127	1.00E+00
128	0.999885
129	0.99986
130	0.996503
131	1.00E+00
132	1.00E+00
133	1.00E+00
134	1.00E+00
135	1.00E+00
136	1
137	1.00E+00
138	1.00E+00
139	1.00E+00
140	1.00E+00
141	1.00E+00
142	1.00E+00
143	1.00E+00
144	1.00E+00
145	1.00E+00
146	1.00E+00
147	0.999944
148	1
149	1.00E+00
150	1.00E+00
151	1.00E+00
152	1
153	0.999885
154	1.00E+00
155	1.00E+00
156	1
157	1
158	1.00E+00
159	1.00E+00
160	1
161	1.00E+00
162	1.00E+00
163	9.97E-01
164	1.00E+00
165	1.00E+00
166	1.00E+00
167	1.00E+00
168	1.00E+00
169	0.999651
170	1.00E+00
171	1.00E+00
172	9.97E-01
173	1.00E+00
174	1.00E+00
175	1
176	1.00E+00
177	1
178	1.00E+00
179	1.00E+00
180	1.00E+00
181	1.00E+00
182	1.00E+00
183	1.00E+00
184	1
185	1.00E+00
186	1.00E+00
187	1.00E+00
188	1
189	1.00E+00
190	1.00E+00
191	1.00E+00
192	1.00E+00
193	1.00E+00
194	0.996503
195	0.997584
196	1.00E+00
197	1.00E+00
198	1.00E+00
199	1.00E+00
200	1.00E+00
201	1.00E+00
202	1.00E+00
203	1.00E+00
204	1.00E+00
205	1.00E+00
206	1
207	1.00E+00
208	1.00E+00
209	1.00E+00
210	1.00E+00
211	1.00E+00
212	1.00E+00
213	1.00E+00
214	1.00E+00
215	1.00E+00
216	1.00E+00
217	1.00E+00
218	1.00E+00
219	1.00E+00
220	1.00E+00
221	1.00E+00
222	1.00E+00
223	1.00E+00
224	1.00E+00
225	1.00E+00
226	0.996428
227	1
228	1.00E+00
229	1.00E+00
230	1.00E+00
231	1.00E+00
232	1.00E+00
233	1.00E+00
234	1.00E+00
235	1.00E+00
236	1.00E+00
237	1.00E+00
238	1.00E+00
239	1.00E+00
240	1.00E+00
241	1.00E+00
242	1.00E+00
243	1.00E+00
244	1.00E+00
245	1.00E+00
246	1.00E+00
247	1.00E+00
248	1.00E+00
249	1.00E+00
250	1.00E+00
251	1.00E+00
252	1.00E+00
253	1.00E+00
254	1.00E+00
255	1.00E+00
