byte	frequency
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	0.9999999999713896
8	0.049821956081731913
9	0.25030447198465566
10	1
11	1
12	0.8661611406348682
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	0.019451576395441064
32	0.7979443753826025
33	0.16687124823654673
34	0.8200308208495184
35	0.9925224797322416
36	0.9807530373326526
37	0.2471343831587206
38	0.9393850187333123
39	0.8962123308344603
40	0.8948795287949995
41	0.9932649155701369
42	0.8281896250169004
43	0.647097359395688
44	0.37434838465567555
45	0.32132105167476965
46	0.2164545644935855
47	0.46464740761896783
48	0.4216728320098564
49	0.572208502858233
50	0.7581329363789695
51	0.77957455472181
52	0.6272562955682209
53	0.7567051051453185
54	0.8035204948764741
55	0.7808955049229143
56	0.7668639438730801
57	0.1119967680506102
58	0.23502192468955557
59	0.33103839497651644
60	0.13296462033117887
61	0.33091235057919505
62	0.6710066420292514
63	0.9510324604153015
64	0.6771871108817019
65	0.8082679546727038
66	0.3722782887123277
67	0.6592297569625274
68	0.7098510005276681
69	0.8467577682360702
70	0.7978406386145334
71	0.8622597723450116
72	0.5900756390066045
73	0.9453479533432696
74	0.6617304011328469
75	0.6467970913479969
76	0.6211383011451297
77	0.7929077360864906
78	0.6832508634227377
79	0.6125707913681557
80	0.9495147099720437
81	0.635945965409591
82	0.4781025812940352
83	0.6224869736084867
84	0.7670094936719267
85	0.8316457307580591
86	0.8650518762996654
87	0.9407908659486327
88	0.9048339505052458
89	0.9279008134248803
90	0.9116870207248692
91	0.9941902217991724
92	0.9117196669254728
93	0.9996675752878367
94	0.2625075493320265
95	0.9999990985988298
96	0.22683317989031937
97	0.5259463522160162
98	0.18107595328406598
99	0.13325959978545962
100	0.2548657789649705
101	0.3294667223113013
102	0.07604832694153289
103	0.270524760981359
104	0.26564267689160265
105	0.8933897420258676
106	0.514961083213659
107	0.22359009251609652
108	0.19877426909567084
109	0.1355465338779596
110	0.1525732719515819
111	0.09817878004363649
112	0.8742053499772138
113	0.21007187762942386
114	0.17787297584881331
115	0.15979913315720284
116	0.3424904040148393
117	0.6352017466085415
118	0.37599713176291766
119	0.4299813929489503
120	0.531351046777561
121	0.8885760579949471
122	0.9214987828399905
123	0.9288093742679533
124	0.9215158954577969
125	0.9966082671061757
126	1
127	0.9827345413410851
128	0.9964904863619859
129	0.9976109894307109
130	0.9987221171061123
131	0.9987394338100903
132	0.9991441796233735
133	0.9990153561945315
134	0.9989401178457011
135	0.9982444699252678
136	0.9988393030484157
137	0.9988749473730848
138	0.9992903258035011
139	0.9988610752090058
140	0.9992658166601721
141	0.9991933046120416
142	0.9989058029571807
143	0.9986960890145125
144	0.9991602954620035
145	0.9991982136588451
146	0.9955814068007103
147	0.9978798543929185
148	0.9989623202677406
149	0.9989435422186147
150	0.9989064253620114
151	0.9987241917869724
152	0.9932077476203911
153	0.999234329944846
154	0.9989441141254626
155	0.9975047859484582
156	0.9974777539683263
157	0.9993782164835605
158	0.9981809341660784
159	0.9864000286970848
160	0.998928350725032
161	0.9987745275154567
162	0.9990171189849717
163	0.9983129375278823
164	0.9988369177231888
165	0.9985267588626854
166	0.997843136851665
167	0.9966573341909528
168	0.9909664595131789
169	0.9978946672439043
170	0.9988617083822121
171	0.9992261896340616
172	0.9988054272007317
173	0.9988572398411725
174	0.9968714801879897
175	0.998039842622188
176	0.9981795459640576
177	0.9989307110723503
178	0.9983986349737484
179	0.9983796514633168
180	0.9986499434608364
181	0.9979557600424884
182	0.9989342976980894
183	0.997730938760456
184	0.9988888461742444
185	0.9985460022772686
186	0.9981993694734429
187	0.9978846344336451
188	0.9988267423419794
189	0.9982026308512285
190	0.9986314267867835
191	1
192	1
193	0.9880613209002136
194	0.986882588592878
195	0.9995685073401002
196	0.9990242348005427
197	1
198	1
199	1
200	0.9999999998791997
201	0.9999992136460283
202	0.9999504229816845
203	0.9999971809378027
204	1
205	0.9997712505500398
206	0.9999627797587185
207	0.9990665727984743
208	0.9992891728612743
209	1
210	1
211	1
212	1
213	0.9999999998104095
214	0.999884971538357
215	0.9998320739478632
216	0.9998826461480115
217	0.9999999999268168
218	0.9999999991279589
219	1
220	1
221	1
222	1
223	0.9996286191712208
224	0.9999353439206816
225	0.9831923513518604
226	0.9967744761389562
227	0.9991737706639909
228	0.9990481720125478
229	0.9988559583101783
230	0.998937977461919
231	0.9992696804279171
232	0.9989165651059834
233	0.9999513387498737
234	0.9999626134407614
235	0.9999070179188474
236	0.9999874047433162
237	1
238	0.9989924033208171
239	1
240	1
241	1
242	0.9999999997488241
243	0.999999996289871
244	0.9999999978093563
245	0.9999183143387714
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
